personId,age,sex,economic_status,income,carAvail,restricted_mobility,homeX,homeY,accessibility,brainExpBeta
bb_82aedec1,43,m,medium,3600.0,always,false,764014.95,5799097.94,-15.68283903683181,1.0,
berlin_ca38beb0,62,f,high,3600.0,always,false,802423.0406603289,5818111.907198205,-10.665633822219036,1.0,
berlin_3b8cf363,35,m,low,900.0,always,false,794867.4414523821,5829410.225700819,-6.29010784206916,1.0,
berlin_44f5dace,90,m,very_low,500.0,always,true,796905.5302959025,5821312.085938421,-12.319659459944424,1.0,
berlin_92162de3,45,m,medium,3000.0,always,false,802458.1026081825,5828083.64147274,-6.236051459263612,1.0,
berlin_d0ae296f,8,m,very_high,5600.0,never,false,805412.3581643004,5830242.906968403,-6.104348281801984,1.0,
berlin_c4e6ad25,2,m,medium,3000.0,never,false,796032.5999422905,5822949.626443534,-4.761761152501044,1.0,
berlin_8269d711,11,m,low,2000.0,never,false,785200.2300391768,5829269.752365708,-1.919842496940909,1.0,
berlin_fa9c8e5b,16,m,high,3600.0,never,false,807867.5911506524,5825217.775322367,-9.331756908841264,1.0,
bb_cbc5156d,33,f,medium,2000.0,always,false,775438.1,5811946.83,-16.125396568008075,1.0,
berlin_e35d2989,43,f,low,900.0,always,false,811066.4519905829,5827317.783119464,-16.474234606879737,1.0,
berlin_61fae7f9,26,f,very_low,900.0,always,true,810244.9499232578,5831958.242712098,-14.941911384111632,1.0,
berlin_c3d9d6e2,51,f,very_low,2000.0,always,false,784465.5753569086,5827183.4042657,-1.9424855795743565,1.0,
berlin_8892ef48,90,m,low,1500.0,always,false,799459.48837624,5816849.804724531,-13.245612265601908,1.0,
berlin_9e68b504,39,f,medium,2600.0,always,false,807723.7610079262,5825064.458239427,-10.078515664750228,1.0,
berlin_95152e65,32,f,high,5600.0,always,false,789711.3013818089,5829492.536922536,-4.37309220673502,1.0,
berlin_12459fad,21,f,high,3000.0,always,false,799048.1995019293,5828456.665200264,-10.558136370596568,1.0,
berlin_77bbabb5,55,f,medium,3000.0,always,false,801243.5758852501,5825718.933060098,-13.854943217158464,1.0,
berlin_86ffbc16,74,m,very_low,900.0,always,true,787414.5056886831,5829513.523439861,-5.177083328162817,1.0,
berlin_575be736,22,f,low,900.0,always,false,794321.5018132892,5827994.6555264145,-11.719399726297963,1.0,
berlin_17a3eec9,39,f,very_low,499.0,always,true,787847.8756757403,5829911.834900035,-8.444103429849713,1.0,
berlin_2ea5001f,12,m,low,3000.0,never,false,810342.0171884585,5829605.925734628,-9.69755793917077,1.0,
berlin_36880011,34,f,medium,1500.0,always,false,803055.4712762295,5820022.021468978,-12.093623316102459,1.0,
berlin_6b3e3a1e,7,m,low,2000.0,never,false,783546.8375827828,5827570.923233183,-1.7596824146870462,1.0,
berlin_204e02a6,18,f,low,2000.0,always,false,795512.0145766274,5836072.9835938895,-8.835211413084386,1.0,
berlin_51a3a4ee,38,f,low,3000.0,always,false,805173.0574654634,5830219.78415178,-6.122817323339283,1.0,
berlin_d06e3edf,47,f,very_high,5600.0,always,false,802466.1698688735,5821072.469164389,-7.562175159304357,1.0,
berlin_d2cf32d6,5,m,medium,3000.0,never,false,795189.7911082052,5825647.305835382,-12.974581553758217,1.0,
berlin_e2655e34,51,f,high,3600.0,always,false,784223.6640909705,5826738.967909912,-2.4453048319672597,1.0,
berlin_a116924a,21,f,high,3000.0,always,false,781291.0936550384,5827711.891253169,-3.291455938014376,1.0,
berlin_9d6f74bf,39,f,low,900.0,always,true,795461.6670246156,5836692.976746071,-12.681941793485235,1.0,
berlin_25dde0ad,40,m,medium,2000.0,always,false,803168.0445089526,5827262.012824995,-7.82989364800161,1.0,
berlin_47e108a0,56,m,high,3600.0,always,false,799141.6993988852,5825080.430304806,-15.522575939044412,1.0,
berlin_5d10ace6,43,f,high,3600.0,always,false,793254.1767607611,5824954.675950838,-7.545335221778921,1.0,
bb_02ba5dd2,63,f,very_low,500.0,always,false,770606.21,5829029.69,-23.79351273174854,1.0,
berlin_b57edf34,5,m,medium,2600.0,never,false,802389.7779841484,5818935.970389724,-9.794199354255223,1.0,
bb_900984d3,8,m,medium,3000.0,never,false,813025.29,5851072.55,-16.772553603897514,1.0,
bb_8e7d1633,33,m,medium,3000.0,always,false,813835.09,5830486.27,-11.566344027345728,1.0,
berlin_ed5c4843,60,f,high,4600.0,always,false,796246.2209002166,5832291.9673312185,-4.660482795419244,1.0,
bb_66f3bef9,53,m,medium,2600.0,always,false,774292.41,5814446.48,-11.538443016292998,1.0,
berlin_07d153fb,15,m,high,4600.0,never,false,798871.384100989,5834894.961777553,-5.3667393914398485,1.0,
berlin_1b5d366d,27,f,medium,2000.0,always,false,795248.745094311,5830069.923652319,-4.2081447944812655,1.0,
berlin_aedd7f0e,71,m,high,4600.0,always,true,806143.7141228273,5826166.384050225,-7.643736604551617,1.0,
bb_1b9fafde,35,f,medium,2600.0,always,false,793856.65,5840087.05,-10.26976664122527,1.0,
berlin_c4b63ccd,30,f,high,4600.0,always,false,804252.957557169,5830384.288655146,-5.44642114808082,1.0,
bb_c040033f,6,m,medium,3600.0,never,false,782014.42,5846675.8,-11.260522190467416,1.0,
berlin_f2375280,2,m,high,5600.0,never,false,792976.3114873802,5827312.729215478,-12.128133090921313,1.0,
berlin_506d2610,48,f,low,900.0,always,false,801202.5086491563,5822571.776628606,-13.304372355026441,1.0,
berlin_fddc9827,86,m,high,3600.0,always,false,812788.2310342169,5830637.020447328,-10.449302363469316,1.0,
bb_c6262602,33,m,high,3000.0,always,false,799146.67,5807889.96,-13.7633011403248,1.0,
berlin_46b69a4b,29,f,low,2000.0,always,false,800346.8478863855,5813384.729384401,-12.93818218757542,1.0,
berlin_1118b1ab,48,f,very_low,2000.0,always,false,795951.6606358982,5832311.478518593,-5.624073360958219,1.0,
