"personId","age","sex","economic_status","income","carAvail","restricted_mobility","homeX","homeY","twalk_expSum","car_base_expSum","car_policy_expSum","pt_expSum","brainExpBeta","age_group","income_bin","bezirk","car_base_expSum_adj","car_policy_expSum_adj","mm_expSum_base","mm_expSum_policy","mm_logSum_base","mm_logSum_policy","mm_delta","car_share_base","changed","outcome","car_logSum_base","car_logSum_policy","car_delta"
"berlin_bb858859",92,"m","very_high",5600,"always","No restriction",800156.603901767,5815280.81927817,5.51278430350434e-32,0.00184742301571734,5.5255940332561e-05,1.70979277754969e-05,1,"60+","5600",12,0.00184742301571734,5.5255940332561e-05,0.00186452094349284,7.23538681080579e-05,-6.28475112564215,-9.53394164248651,-3.24919051684436,0.99082985480256,TRUE,"Worsened",-6.29396357544592,-9.80353470601457,-3.50957113056864
"berlin_44d9536a",52,"f","high",3600,"always","No restriction",800693.818846291,5828221.11303606,0.000129869864763997,0.17074257429067,5.54287474016326e-06,0.00675818558509914,1,"45–59","3600",11,0.17074257429067,5.54287474016326e-06,0.177630629740533,0.0068935983246033,-1.72804899853915,-4.97716207707529,-3.24911307853614,0.961222591734744,TRUE,"Worsened",-1.76759827025775,-12.1029972856237,-10.3353990153659
"berlin_2d995a74",61,"m","high",3600,"always","No restriction",806121.612590243,5827603.93332727,1.26990754169057e-18,0.00901803375632336,0.000232428307494904,0.000122471746900114,1,"60+","3600",6,0.00901803375632336,0.000232428307494904,0.00914050550322348,0.000354900054395019,-4.69503958834703,-7.94367434504326,-3.24863475669623,0.986601206371253,TRUE,"Worsened",-4.70852895577409,-8.36692873534863,-3.65839977957454
"berlin_e036a151",57,"f","low",1500,"always","No restriction",806361.734625101,5822508.05955642,1.0527077277008e-16,0.000727229763369719,1.51409362854782e-06,2.78073392238925e-05,1,"45–59","1500",3,0.000727229763369719,1.51409362854782e-06,0.000755037102593717,2.93214328525456e-05,-7.18874366741447,-10.4371918126806,-3.24844814526617,0.96317089699503,TRUE,"Worsened",-7.22626808721233,-13.4006935630198,-6.17442547580746
"berlin_3b68ad4e",46,"f","high",4600,"always","No restriction",795780.171601769,5824956.02927689,0.000104815621814529,0.179469623995652,6.73723116817962e-05,0.00707837197839025,1,"45–59","4600",12,0.179469623995652,6.73723116817962e-05,0.186652811595856,0.00725055991188658,-1.67850501026939,-4.92667658387184,-3.24817157360246,0.961515781419045,TRUE,"Worsened",-1.71774931102505,-9.60527643035794,-7.8875271193329
"berlin_719be4dc",57,"f","medium",1500,"always","No restriction",801001.875558195,5828147.06613137,5.91589821738179e-05,0.0768107435251179,5.10899029263154e-06,0.00304160386336055,1,"45–59","1500",11,0.0768107435251179,5.10899029263154e-06,0.0799115063706523,0.003105871835827,-2.52683542693309,-5.77446081852394,-3.24762539159084,0.961197542301954,TRUE,"Worsened",-2.56641075896218,-12.18450876767,-9.61809800870778
"berlin_da1f3cfd",81,"m","medium",2600,"always","No restriction",810282.261419034,5822927.96418341,1.11125346438925e-31,0.000103369060967432,1.35874320870429e-06,2.76664539528783e-06,1,"60+","2600",3,0.000103369060967432,1.35874320870429e-06,0.00010613570636272,4.12538860399212e-06,-9.15079203396689,-12.3983503355864,-3.24755830161956,0.973932944057179,TRUE,"Worsened",-9.17720485761367,-13.5089503967172,-4.33174553910353
"bb_a6e293a2",87,"m","medium",2000,"always","No restriction",814173.96,5800098.25,1.4191439318422e-86,5.06419074600632e-09,1.96873262473793e-10,2.8024701111162e-17,1,"60+","2000",NA,5.06419074600632e-09,1.96873262473793e-10,5.06419077403102e-09,1.96873290498494e-10,-19.1010714802172,-22.3484607895686,-3.24738930935143,0.999999994466105,TRUE,"Worsened",-19.1010714857511,-22.3484609319175,-3.24738944616647
"berlin_dbcd0c40",98,"m","high",2600,"always","No restriction",810961.646416726,5824493.49845072,1.16316819138527e-32,7.82130354063524e-05,2.90234884188719e-06,1.44600142182078e-07,1,"60+","2600",7,7.82130354063524e-05,2.90234884188719e-06,7.83576355485345e-05,3.04694898406927e-06,-9.45422713955791,-12.7013698011041,-3.24714266154615,0.998154613252814,TRUE,"Worsened",-9.45607423112891,-12.7499902033223,-3.29391597219343
"berlin_02c7af46",64,"f","medium",3000,"always","No restriction",794209.30511918,5828106.70384685,2.4717485238195e-05,0.146796696649664,2.63372929022997e-05,0.00588873115619857,1,"60+","3000",10,0.146796696649664,2.63372929022997e-05,0.152710145291101,0.00593978593433906,-1.87921362959912,-5.12608218424702,-3.2468685546479,0.96127664844949,TRUE,"Worsened",-1.91870666544139,-10.5445246420903,-8.62581797664894
"berlin_296c75be",60,"m","high",4600,"always","Restricted mobility",797060.847616112,5824340.28839377,3.77950637884423e-05,0.284692197486175,5.74162643450839e-05,0.0114347330822838,1,"60+","4600",11,0.284692197486175,5.74162643450839e-05,0.296164725632247,0.0115299444104173,-1.2168394739355,-4.46280776601225,-3.24596829207675,0.961263016311005,TRUE,"Worsened",-1.25634669116371,-9.76518294381541,-8.5088362526517
"berlin_b67cfb17",42,"f","high",4600,"always","No restriction",800212.154139481,5822930.07882432,1.48961139760712e-07,0.0963405847090531,3.64677683466339e-05,0.00386471311000145,1,"30–44","4600",5,0.0963405847090531,3.64677683466339e-05,0.100205446780194,0.00390132983948784,-2.300532732725,-5.54643779948447,-3.24590506675947,0.961430618840321,TRUE,"Worsened",-2.33986560857435,-10.2190817464984,-7.8792161379241
"bb_7bf7562a",50,"f","high",3600,"always","No restriction",801984.55,5816023.13,1.64517779851715e-23,0.00066214095664373,2.09157527431683e-05,5.06904515076892e-06,1,"45–59","3600",NA,0.00066214095664373,2.09157527431683e-05,0.000667210001794499,2.59847978939372e-05,-7.31240571633291,-10.5579988873314,-3.24559317099851,0.99240262415561,TRUE,"Worsened",-7.32003209924897,-10.7750079631288,-3.45497586387982
"berlin_640c7adf",51,"f","very_high",5600,"always","No restriction",804166.004733638,5818657.80628114,1.69218635038832e-19,0.00287213234124046,6.75540280173435e-05,4.61294890799001e-05,1,"45–59","5600",5,0.00287213234124046,6.75540280173435e-05,0.00291826183032036,0.000113683517097244,-5.83676710353057,-9.08209213607869,-3.24532503254811,0.984192820328656,TRUE,"Worsened",-5.8527005490387,-9.60258286517535,-3.74988231613665
"berlin_03b56125",30,"f","high",3000,"always","No restriction",799976.986546867,5816176.48136116,1.07184809343993e-22,0.000790714703007727,1.91719371468675e-05,1.21052064946428e-05,1,"30–44","3000",5,0.000790714703007727,1.91719371468675e-05,0.000802819909502369,3.12771436415103e-05,-7.12738014127192,-10.3726229622652,-3.24524282099328,0.984921641390102,TRUE,"Worsened",-7.14257333413461,-10.8620629550539,-3.71948962091928
"berlin_7089e342",39,"f","high",2600,"always","No restriction",808403.356809092,5827125.05630436,2.25955680822326e-19,0.00104119383986812,2.43806835792942e-05,1.6848740557116e-05,1,"30–44","2600",7,0.00104119383986812,2.43806835792942e-05,0.00105804258042524,4.12294241364104e-05,-6.85133470020727,-10.0963583784444,-3.24502367823711,0.98407555530483,TRUE,"Worsened",-6.86738730123851,-10.621719395777,-3.75433209453847
"berlin_f8def1f4",85,"m","high",3600,"always","No restriction",793017.947796315,5825344.33300061,2.161045541968e-05,0.204716990096197,5.91360566746781e-09,0.00828042937698029,1,"60+","3600",2,0.204716990096197,5.91360566746781e-09,0.213019029928597,0.00830204574600564,-1.54637377487572,-4.7912533191273,-3.24487954425157,0.961026769133336,TRUE,"Worsened",-1.58612678977778,-18.9460100955431,-17.3598833057653
"berlin_bdc9f7ad",19,"f","medium",4600,"always","No restriction",801870.545923955,5823466.58121064,7.7767877974941e-07,0.0954135784838329,2.02664046836895e-05,0.00385107941512558,1,"15–29","4600",5,0.0954135784838329,2.02664046836895e-05,0.0992654355777382,0.00387212349858902,-2.30995784931332,-5.5539522147797,-3.24399436546638,0.961196391558784,TRUE,"Worsened",-2.3495343785405,-10.8065459845355,-8.45701160599495
"berlin_157d6499",45,"m","medium",2600,"always","No restriction",802776.613435896,5826679.34073417,8.26687772525356e-07,0.0431279921751098,1.44767699140713e-05,0.00173505636963653,1,"45–59","2600",11,0.0431279921751098,1.44767699140713e-05,0.0448638752325189,0.00175035982732313,-3.10412236858942,-6.34793389656949,-3.24381152798007,0.961307777172338,TRUE,"Worsened",-3.14358302226689,-11.1429652681237,-7.99938224585677
"berlin_b054c8f7",39,"f","medium",3000,"always","No restriction",807580.235669951,5824802.57975454,1.2353356978951e-17,0.00148518999869581,1.25750389047717e-05,4.72134985276233e-05,1,"30–44","3000",6,0.00148518999869581,1.25750389047717e-05,0.00153240349722345,5.97885374324074e-05,-6.48091786295333,-9.7246965971133,-3.24377873415997,0.969189904217015,TRUE,"Worsened",-6.51221256966207,-11.2837967481644,-4.77158417850237
"bb_749902b2",52,"m","very_high",5600,"always","No restriction",813867.67,5803793.58,1.51624529845264e-59,2.70008725937641e-05,1.05135637223823e-06,2.3272544379647e-09,1,"45–59","5600",NA,2.70008725937641e-05,1.05135637223823e-06,2.70031998482021e-05,1.0536836266762e-06,-10.5195551860857,-13.7632183173473,-3.24366313126163,0.999913815605149,TRUE,"Worsened",-10.5196413741946,-13.7654294443447,-3.24578807015013
"berlin_1d56d466",29,"m","very_high",5600,"always","No restriction",799232.720499852,5828675.90286886,0.000456632710606049,0.252354887679911,8.08210311669343e-05,0.00971618599757351,1,"15–29","5600",10,0.252354887679911,8.08210311669343e-05,0.26252770638809,0.0102536397393465,-1.33739865437517,-4.58012253990796,-3.24272388553279,0.961250494859612,TRUE,"Worsened",-1.37691889772914,-9.42327333958645,-8.04635444185731
"bb_b14100cf",70,"f","low",900,"always","No restriction",813075,5810268.73,2.4623335119852e-60,9.68963145670549e-11,1.00200609155958e-13,3.83572242524674e-12,1,"60+","900",NA,9.68963145670549e-11,1.00200609155958e-13,1.00732036992302e-10,3.9359230344027e-12,-23.0185572238782,-26.2608756911973,-3.24231846731913,0.961921524275937,TRUE,"Worsened",-23.0573796311188,-29.9316021268776,-6.87422249575878
"berlin_f4f7b162",82,"m","medium",3000,"always","No restriction",803967.111374703,5822279.64787413,3.26206918318304e-16,0.0104107655457741,1.39986648266536e-05,0.000408901344077165,1,"60+","3000",5,0.0104107655457741,1.39986648266536e-05,0.0108196668898516,0.000422900008904145,-4.5263897925579,-7.76837479243087,-3.24198499987297,0.962207584739876,TRUE,"Worsened",-4.56491485959958,-11.1765486024217,-6.61163374282214
"bb_c34a0d6b",60,"f","very_high",5600,"always","No restriction",819784.42,5805426.2,4.69179934624646e-84,4.21857466371154e-06,1.54613677827372e-07,1.07212276582436e-08,1,"60+","5600",NA,4.21857466371154e-06,1.54613677827372e-07,4.22929589136978e-06,1.65334905485616e-07,-12.3734750347024,-15.6152926899492,-3.24181765524686,0.997465008849317,TRUE,"Worsened",-12.3760132443836,-15.6823362323432,-3.30632298795964
"berlin_35f3c08f",46,"f","high",4600,"always","No restriction",803024.36178739,5825965.83277151,3.81193757679414e-07,0.0478873274980423,5.96458214951057e-05,0.00188641253099757,1,"45–59","4600",11,0.0478873274980423,5.96458214951057e-05,0.0497741212227976,0.00194643954625036,-3.00026008417924,-6.24175344906349,-3.24149336488425,0.962092877214052,TRUE,"Worsened",-3.03890437119538,-9.72708646224942,-6.68818209105404
"berlin_7b52893a",47,"f","high",4600,"always","No restriction",806134.12304086,5827543.490716,1.89267084452651e-14,0.0104470339913373,0.000290862514655717,0.000122471746900114,1,"45–59","4600",6,0.0104470339913373,0.000290862514655717,0.0105695057382564,0.000413334261574757,-4.5497822410016,-7.79125394229044,-3.24147170128884,0.988412727146194,TRUE,"Worsened",-4.56143716943843,-8.14265986066411,-3.58122269122568
"berlin_b110d8f7",33,"m","high",3600,"always","No restriction",792922.428641973,5828373.22597181,6.75982928648085e-07,0.105660048079714,3.15889487369109e-05,0.00426913422262989,1,"30–44","3600",10,0.105660048079714,3.15889487369109e-05,0.109929858285273,0.00430139915429545,-2.20791276852826,-5.44881492448888,-3.24090215596062,0.961158776403785,TRUE,"Worsened",-2.24752843220429,-10.3627032220544,-8.11517478985012
"berlin_7d46d677",49,"f","high",3600,"always","No restriction",801676.941711915,5825490.02634128,0.000292611110963535,0.2184592869073,6.20800741338173e-06,0.00859906207739876,1,"45–59","3600",11,0.2184592869073,6.20800741338173e-06,0.227350960095662,0.00889788119577568,-1.48126037573494,-4.72194209847707,-3.24068172274214,0.960890100553695,TRUE,"Worsened",-1.52115561175178,-11.9896705809182,-10.4685149691664
"berlin_a8bf03fc",37,"m","medium",2000,"always","No restriction",803036.901537775,5828133.56687549,5.45750595279482e-08,0.0596525846293,0.000383432744864217,0.00203062760637979,1,"30–44","2000",11,0.0596525846293,0.000383432744864217,0.0616832668107393,0.00241411492630353,-2.78574258727196,-6.02642254919499,-3.24067996192303,0.96707888076567,TRUE,"Worsened",-2.8192178014641,-7.86634632446806,-5.04712852300395
"berlin_13299964",64,"f","high",3000,"always","No restriction",811740.755970842,5818763.71962672,1.08879391048788e-40,7.55913720733567e-05,3.13981417862213e-07,2.75352920927894e-06,1,"60+","3000",3,7.55913720733567e-05,3.13981417862213e-07,7.83449012826357e-05,3.06751062714115e-06,-9.4543896674427,-12.6946441959367,-3.24025452849395,0.964853753541084,TRUE,"Worsened",-9.49016840730546,-14.9739320315721,-5.4837636242666
"berlin_1bbdaf0a",59,"f","very_high",5600,"always","No restriction",801285.977999423,5823547.74415247,1.05360794501272e-06,0.153866592765483,9.09687424272869e-06,0.00626247802908085,1,"45–59","5600",5,0.153866592765483,9.09687424272869e-06,0.160130124402509,0.00627262851126859,-1.83176851676359,-5.07155979188757,-3.23979127512397,0.960884738831017,TRUE,"Worsened",-1.87166933275013,-11.6075796932576,-9.73591036050751
"berlin_f8767831",66,"m","medium",2600,"always","No restriction",818872.830888569,5819091.12634925,3.52264604907333e-59,1.32928426687663e-06,6.3357505309596e-09,4.76003648054744e-08,1,"60+","2600",3,1.32928426687663e-06,6.3357505309596e-09,1.37688463168211e-06,5.3936115336434e-08,-13.4956871240936,-16.7354655400627,-3.23977841596908,0.965428937392291,TRUE,"Worsened",-13.5308699057883,-18.8770575564797,-5.34618765069145
"berlin_df6fd503",33,"f","high",4600,"always","No restriction",801001.911778229,5821014.07070571,4.94547886596374e-12,0.0147478110807059,0.000366471141491379,0.000219875145326787,1,"30–44","4600",5,0.0147478110807059,0.000366471141491379,0.0149676862309782,0.000586346291763645,-4.20186165288519,-7.44160000134829,-3.23973834846311,0.985310010720482,TRUE,"Worsened",-4.21666060851694,-7.91159078055258,-3.69493017203564
"berlin_21022dae",52,"f","high",3600,"always","No restriction",800163.138848891,5823306.55523399,1.05613080005981e-06,0.0949434947660693,5.27845311352664e-06,0.00386471311000145,1,"45–59","3600",5,0.0949434947660693,5.27845311352664e-06,0.0988092640068708,0.00387104769391504,-2.31456391337227,-5.55423008663715,-3.23966617326488,0.960876449393119,TRUE,"Worsened",-2.35447335627661,-12.1518774740935,-9.79740411781685
