personId,age,sex,economic_status,income,carAvail,restricted_mobility,homeX,homeY,accessibility,brainExpBeta
berlin_11b9189f,52,f,high,5600.0,always,false,794323.1907747334,5828000.902905627,0.18200115915197024,1.0,
berlin_45e4da96,19,m,low,2000.0,always,false,784827.0201488883,5829634.280590253,0.18649450571556186,1.0,
bb_ef4901f2,72,f,medium,2600.0,always,false,834516.58,5888304.38,1.580736732319437E-14,1.0,
berlin_2bacfcdd,66,m,medium,3000.0,always,false,805316.2253890729,5828098.3046283135,0.020864995485961,1.0,
berlin_5273a48b,40,f,low,2600.0,always,false,799678.5177416997,5819642.687602751,0.004139509787988123,1.0,
berlin_ae454754,64,f,very_high,5600.0,always,false,804148.6944065348,5817186.359892256,0.001366893826435815,1.0,
berlin_9df63d21,21,m,low,900.0,always,false,809896.5294659478,5834196.516739061,9.165663376508291E-7,1.0,
berlin_b6b137e2,54,f,high,2600.0,always,false,784671.1446257553,5830396.734181516,0.12164693502240012,1.0,
berlin_aa5f197b,28,m,very_low,500.0,always,false,792809.5084270565,5819966.914058338,1.20351382439679E-5,1.0,
berlin_50e6c0ee,47,f,high,4600.0,always,false,796855.8430244256,5833509.089635751,0.02514749973492114,1.0,
bb_908bb6ae,23,f,very_high,5600.0,always,false,844939.87,5813074.88,1.233882732930877E-9,1.0,
berlin_d5f1eecb,24,f,high,3000.0,always,false,801637.809806623,5817809.345440731,0.0011733854858584423,1.0,
bb_e5711ee7,5,f,very_high,5600.0,never,true,776808.2,5828331.71,0.009688664934550707,1.0,
berlin_5db1f849,85,m,very_low,900.0,always,false,803252.7915562887,5819644.592067256,3.87691213009589E-5,1.0,
bb_77c60606,79,f,medium,2000.0,always,true,816403.73,5802802.14,1.0077207173710673E-8,1.0,
berlin_c5598f4d,50,f,high,3600.0,always,false,792689.9753547113,5837661.561039525,0.0013483342451581905,1.0,
bb_6fd8276e,90,f,medium,2000.0,always,true,787883.47,5814834.52,1.1488677627757003E-4,1.0,
berlin_81e8e2d7,31,f,high,3600.0,always,false,792507.026623692,5819740.145636018,0.022377578995498422,1.0,
bb_415dc46d,62,m,very_low,500.0,always,false,764692.52,5841768.02,1.0176779680658676E-18,1.0,
