id,xcoord,ycoord,time,car_accessibility
0,679517.63,5702686.9,28800.0,-368.02188888959853
223,680517.63,5702686.9,28800.0,-367.89502428581267
446,681517.63,5702686.9,28800.0,-365.4127242929897
669,682517.63,5702686.9,28800.0,-362.96068745787636
892,683517.63,5702686.9,28800.0,-360.53960368383935
1115,684517.63,5702686.9,28800.0,-358.1501748920491
1338,685517.63,5702686.9,28800.0,-355.79311478781227
1561,686517.63,5702686.9,28800.0,-353.4691485826178
1784,687517.63,5702686.9,28800.0,-351.17901266920217
2007,688517.63,5702686.9,28800.0,-348.9234542469361
2230,689517.63,5702686.9,28800.0,-346.70323089485294
2453,690517.63,5702686.9,28800.0,-344.51911008968
2676,691517.63,5702686.9,28800.0,-342.3718686663042
2899,692517.63,5702686.9,28800.0,-340.262292218197
3122,693517.63,5702686.9,28800.0,-338.1911744354565
3345,694517.63,5702686.9,28800.0,-336.1593163782853
3568,695517.63,5702686.9,28800.0,-334.16752568392434
3791,696517.63,5702686.9,28800.0,-332.21661570530324
4014,697517.63,5702686.9,28800.0,-328.30303072362386
4237,698517.63,5702686.9,28800.0,-326.1036189862428
4460,699517.63,5702686.9,28800.0,-323.9429642328255
4683,700517.63,5702686.9,28800.0,-321.821945127729
4906,701517.63,5702686.9,28800.0,-319.7414502375596
5129,702517.63,5702686.9,28800.0,-317.70237713985915
5352,703517.63,5702686.9,28800.0,-315.70563144357646
5575,704517.63,5702686.9,28800.0,-313.75212571877756
5798,705517.63,5702686.9,28800.0,-311.84277833345016
6021,706517.63,5702686.9,28800.0,-309.9785121957431
6244,707517.63,5702686.9,28800.0,-308.16025340052323
6467,708517.63,5702686.9,28800.0,-306.388929779755
6690,709517.63,5702686.9,28800.0,-304.6654693568993
6913,710517.63,5702686.9,28800.0,-302.9907987062924
7136,711517.63,5702686.9,28800.0,-301.3658412193007
7359,712517.63,5702686.9,28800.0,-299.7915152799455
7582,713517.63,5702686.9,28800.0,-298.2687323536532
7805,714517.63,5702686.9,28800.0,-296.7983949938001
8028,715517.63,5702686.9,28800.0,-295.3813947717772
8251,716517.63,5702686.9,28800.0,-294.01861013739267
8474,717517.63,5702686.9,28800.0,-292.71090421753877
8697,718517.63,5702686.9,28800.0,-291.4591225621661
8920,719517.63,5702686.9,28800.0,-290.26409084770955
9143,720517.63,5702686.9,28800.0,-289.1266125491859
9366,721517.63,5702686.9,28800.0,-289.5891852407623
9589,722517.63,5702686.9,28800.0,-285.79213683360683
9812,723517.63,5702686.9,28800.0,-282.0015725506428
10035,724517.63,5702686.9,28800.0,-278.2177992839587
10258,725517.63,5702686.9,28800.0,-274.4411429986991
10481,726517.63,5702686.9,28800.0,-270.6719501860667
10704,727517.63,5702686.9,28800.0,-266.91058944572427
10927,728517.63,5702686.9,28800.0,-263.157453210557
11150,729517.63,5702686.9,28800.0,-259.4129596281559
11373,730517.63,5702686.9,28800.0,-255.67755461494758
11596,731517.63,5702686.9,28800.0,-251.95171410062324
11819,732517.63,5702686.9,28800.0,-248.23594648244173
12042,733517.63,5702686.9,28800.0,-244.53079531110944
12265,734517.63,5702686.9,28800.0,-240.8368422322891
12488,735517.63,5702686.9,28800.0,-237.1547102103872
12711,736517.63,5702686.9,28800.0,-233.48506706411928
12934,737517.63,5702686.9,28800.0,-229.82862934648563
13157,738517.63,5702686.9,28800.0,-226.18616660519862
13380,739517.63,5702686.9,28800.0,-222.558506063313
13603,740517.63,5702686.9,28800.0,-218.94653776379982
13826,741517.63,5702686.9,28800.0,-215.35122022607175
14049,742517.63,5702686.9,28800.0,-211.77358666696963
14272,743517.63,5702686.9,28800.0,-208.2147518434001
14495,744517.63,5702686.9,28800.0,-204.67591957858025
14718,745517.63,5702686.9,28800.0,-201.15839103855234
14941,746517.63,5702686.9,28800.0,-197.66357383008062
15164,747517.63,5702686.9,28800.0,-194.19299199494222
15387,748517.63,5702686.9,28800.0,-190.74829697858436
15610,749517.63,5702686.9,28800.0,-187.3312796525962
15833,750517.63,5702686.9,28800.0,-183.94388346972275
16056,751517.63,5702686.9,28800.0,-180.58821882627012
16279,752517.63,5702686.9,28800.0,-177.2665786984739
16502,753517.63,5702686.9,28800.0,-173.98145560511426
16725,754517.63,5702686.9,28800.0,-170.7355599263099
16948,755517.63,5702686.9,28800.0,-167.53183957542944
17171,756517.63,5702686.9,28800.0,-164.3735009742375
17394,757517.63,5702686.9,28800.0,-161.26403121687622
17617,758517.63,5702686.9,28800.0,-158.20722122151756
17840,759517.63,5702686.9,28800.0,-155.20718955428597
18063,760517.63,5702686.9,28800.0,-152.26840646266828
18286,761517.63,5702686.9,28800.0,-149.3957174693122
18509,762517.63,5702686.9,28800.0,-146.5943656466891
18732,763517.63,5702686.9,28800.0,-143.87001141507662
18955,764517.63,5702686.9,28800.0,-141.22874838059724
19178,765517.63,5702686.9,28800.0,-144.9248696226593
19401,766517.63,5702686.9,28800.0,-141.0058756678226
19624,767517.63,5702686.9,28800.0,-137.09385021087945
19847,768517.63,5702686.9,28800.0,-133.18972097774417
20070,769517.63,5702686.9,28800.0,-129.29458558160755
20293,770517.63,5702686.9,28800.0,-125.40975161875238
