personId,age,sex,economic_status,income,carAvail,restricted_mobility,homeX,homeY,accessibility,brainExpBeta
bb_99d38c25,30,f,medium,1500.0,always,false,774647.71,5831213.69,-7.021111033092149,1.0,
bb_de844c45,37,f,very_low,1500.0,always,false,831407.78,5810328.12,-23.817717295792594,1.0,
berlin_77d73472,4,m,very_high,5600.0,never,false,806197.6066726448,5819075.691652286,-6.558323413310535,1.0,
berlin_77890c48,43,f,very_high,5600.0,always,false,809783.2835811237,5830007.344881815,-7.68747836948919,1.0,
bb_c0cf5cc0,41,f,high,4600.0,always,false,788708.14,5849155.86,-12.314193375180102,1.0,
berlin_f2e1af58,71,m,high,3600.0,always,false,789464.1908519096,5823484.568560296,-2.6710840213162297,1.0,
berlin_bb7faaef,19,f,high,4600.0,always,false,791603.5191747677,5834737.067773836,-6.123158918732108,1.0,
bb_3ea5b57c,27,m,high,3600.0,always,false,793425.15,5809844.9,-10.8716352392236,1.0,
bb_566edbb8,60,m,medium,1500.0,always,false,818097.01,5829940.12,-11.783932055599632,1.0,
berlin_5d3c7919,72,m,high,2600.0,always,false,803985.4724826745,5840856.079991475,-8.757693468145103,1.0,
bb_5fecb832,13,m,medium,3600.0,never,false,783464.27,5780759.96,-13.64583487325466,1.0,
berlin_84626363,36,f,medium,2600.0,always,false,800768.2598713813,5821314.416546126,-4.536922069382322,1.0,
bb_0ab81cc0,59,f,low,1500.0,always,false,819589.54,5814557.43,-15.011821453577909,1.0,
bb_fac8f1e9,52,m,low,900.0,always,false,804470.69,5854291.01,-16.912236639469306,1.0,
berlin_d2293e01,8,m,low,3600.0,never,false,801485.3773633745,5825897.460663418,-2.1754108210525946,1.0,
berlin_e93eabf6,19,m,medium,2000.0,always,false,791529.4081261182,5835291.176988342,-6.519104755869382,1.0,
berlin_bae77035,66,m,high,3600.0,always,false,810967.8162170984,5829777.790992541,-8.852694822021446,1.0,
berlin_b0faf419,5,m,high,3600.0,never,false,795914.0674500987,5816798.520920464,-6.617940868214495,1.0,
berlin_40e228f9,39,f,high,4600.0,always,false,799108.8415821446,5820067.806366007,-4.868742006730704,1.0,
berlin_9535e990,45,f,low,900.0,always,true,799318.2876640223,5831244.0699009625,-2.119039902903903,1.0,
berlin_d790b91f,58,f,very_low,500.0,always,true,800177.9859797065,5819097.7565665245,-6.029138044814229,1.0,
berlin_3b061e91,62,f,high,3600.0,always,false,785117.1686406343,5829879.682099539,-1.7991616220418176,1.0,
berlin_6d0e6c03,63,f,high,3000.0,always,false,798080.2718015108,5824718.610337817,-1.4991070634085804,1.0,
berlin_2243af59,43,m,medium,2600.0,always,false,798858.595420111,5829993.050014029,-1.937806135304492,1.0,
berlin_4e3f3c09,68,m,very_high,5600.0,always,false,790657.6863492456,5817753.025953116,-5.85918690633691,1.0,
berlin_cb12dffd,42,f,very_high,5600.0,always,false,781754.8593901906,5831402.471928451,-3.5274564836680544,1.0,
bb_962223b2,39,m,very_high,4600.0,always,false,745351.02,5797997.4,-25.046643792357454,1.0,
berlin_4c308f15,88,m,high,3600.0,always,false,797310.8944654544,5831487.98378115,-3.1544122945695423,1.0,
berlin_5a3e8a7d,43,m,very_high,5600.0,always,false,801797.6235809119,5828256.215550084,-2.372340664667915,1.0,
berlin_11b9189f,52,f,high,5600.0,always,false,794323.1907747334,5828000.902905627,-2.0499247144280313,1.0,
berlin_41e24e88,38,m,medium,1500.0,always,true,797806.7225046509,5828757.028352222,-2.241213677888979,1.0,
berlin_43012eeb,41,f,high,4600.0,always,false,813238.0939654281,5831307.864586273,-9.085601072154896,1.0,
berlin_7bcbca96,19,m,very_low,2000.0,always,false,797740.1235926306,5831721.89250407,-3.0385945032870794,1.0,
berlin_544ad762,29,f,medium,1500.0,always,false,791804.3073802611,5833289.992301119,-5.878373503911097,1.0,
berlin_1849f29d,93,m,high,3600.0,always,false,811109.2306146282,5829565.15282882,-8.444630631848456,1.0,
berlin_012f5cd2,94,m,high,3600.0,always,false,801544.6827555546,5830448.9057497205,-1.9840887620606764,1.0,
berlin_e5216699,7,m,medium,3600.0,never,false,794048.4813047932,5834633.824614195,-5.500598266371116,1.0,
berlin_20ce9f14,62,f,very_high,4600.0,always,false,792621.2176036015,5818277.675898135,-5.206405589650853,1.0,
berlin_ed0f4d01,49,f,very_low,900.0,always,false,783097.1258047767,5830413.07842761,-2.4081311471240148,1.0,
berlin_799c811e,29,m,medium,1500.0,always,false,800721.8116818909,5829586.615629272,-0.9550673162083732,1.0,
bb_25de7624,86,f,medium,2600.0,always,true,779421.23,5807782.03,-11.638405309910183,1.0,
bb_d80cfe8e,58,m,high,3600.0,always,false,814818.39,5796840.94,-17.29074379143481,1.0,
berlin_5a83d94f,39,f,low,3000.0,always,false,791967.4215537868,5825007.989950597,-1.4024832198577828,1.0,
berlin_277f53d5,28,f,medium,2000.0,always,false,808299.0189091956,5831769.726817442,-6.2205443789191035,1.0,
berlin_ce00a082,47,f,low,900.0,always,false,793241.888341086,5818504.372876364,-5.06665489201021,1.0,
berlin_3960c3eb,75,m,medium,2000.0,always,false,802791.1067017473,5827802.150575627,-2.511761572186115,1.0,
bb_06ce246d,82,m,medium,2600.0,always,false,775410.34,5813787.67,-11.569246779489736,1.0,
bb_ffdcb866,86,f,low,900.0,always,false,807975.89,5842021.01,-11.281635221532621,1.0,
berlin_a1664c02,45,f,low,2600.0,always,false,793111.1527083907,5820692.619156092,-3.7624216433744753,1.0,
berlin_ccbc63e3,16,m,medium,3600.0,never,false,798826.0798116686,5833329.044127791,-3.471271749082663,1.0,
bb_f6754dd8,43,m,medium,1500.0,always,false,806280.03,5842962.8,-10.532516099956174,1.0,
berlin_8c55ebd2,34,f,high,3600.0,always,false,793826.6816078143,5836186.477476976,-6.237532641397134,1.0,
berlin_4558a273,12,m,medium,2600.0,never,false,801712.1863811263,5832110.50783349,-3.2738607721381565,1.0,
berlin_7c240a56,47,f,medium,3600.0,always,false,801470.6663866132,5819124.486864483,-6.0043225471348824,1.0,
bb_d1af60ce,91,f,very_high,5600.0,always,true,784713.38,5800900.25,-8.732055914286569,1.0,
berlin_4ee31ccf,61,f,high,3600.0,always,false,793522.9635356795,5819438.55557149,-4.532549063331546,1.0,
bb_0a9741b7,5,m,medium,3000.0,never,false,824386.98,5832766.68,-14.735135160526742,1.0,
berlin_0b7fb1e0,22,f,low,900.0,always,false,794211.7103863508,5832054.37491097,-4.199579146134319,1.0,
berlin_dbff411d,13,m,high,5600.0,never,false,804408.8738044029,5819444.263631255,-6.371077126001376,1.0,
berlin_86ea327f,75,m,high,3600.0,always,false,791310.0844919313,5825071.537390195,-0.8121803190688199,1.0,
berlin_b59df5c4,50,f,medium,2000.0,always,false,799929.9867696918,5831269.988783683,-2.061264725563338,1.0,
berlin_7328817b,56,f,very_high,5600.0,always,false,800782.1556037733,5822280.344509343,-3.597198581528368,1.0,
berlin_0dd68819,67,m,medium,2000.0,always,false,801790.274232978,5830839.25014673,-2.352310247995567,1.0,
berlin_86137ff3,21,f,medium,2000.0,always,false,801766.093215182,5823591.5125526115,-2.6679161730625767,1.0,
berlin_1168ee25,62,f,medium,2000.0,always,false,795750.5920277325,5816186.21417186,-7.2000978687803565,1.0,
berlin_a39a45a0,53,f,very_low,900.0,always,false,797891.366345098,5829154.308450891,-2.2498610618183403,1.0,
berlin_1a23486d,25,f,high,3000.0,always,false,808745.1106368743,5829474.715142173,-6.684954030109591,1.0,
berlin_fda05eb6,19,f,medium,3000.0,always,false,803618.8040807148,5839031.025333251,-7.3727349913533535,1.0,
bb_ea1d08fe,35,f,medium,3000.0,always,false,810120.92,5844615.04,-11.283726473541037,1.0,
berlin_37a36680,58,f,medium,2000.0,always,false,808861.2445436819,5834279.878472943,-7.337974039911684,1.0,
berlin_3223437c,62,f,medium,2000.0,always,false,797748.0754977986,5826712.129442207,-0.9549275522425131,1.0,
bb_92d8ef55,5,m,medium,3000.0,never,false,809786.53,5844950.73,-12.124076176494283,1.0,
berlin_5e28aca8,53,f,high,5600.0,always,false,797565.3410944102,5833137.877525747,-4.019508879580258,1.0,
bb_3b902145,10,m,medium,3600.0,never,false,789927.09,5844031.67,-11.008620842383023,1.0,
berlin_7c9db042,38,m,medium,2600.0,always,false,792705.1144324758,5817425.437697974,-5.792590382410532,1.0,
berlin_455f957b,61,f,high,4600.0,always,false,804856.4202816854,5833614.722793027,-5.27609836042751,1.0,
bb_c0afb6e8,16,f,very_high,5600.0,never,false,828503.83,5829516.48,-16.632012053371465,1.0,
