id,xcoord,ycoord,time,car_accessibility
0,679517.63,5702686.9,28800.0,-368.0596546619666
223,680517.63,5702686.9,28800.0,-367.947235178011
446,681517.63,5702686.9,28800.0,-365.46493518518804
669,682517.63,5702686.9,28800.0,-363.0128983500747
892,683517.63,5702686.9,28800.0,-360.5918145760377
1115,684517.63,5702686.9,28800.0,-358.20238578424744
1338,685517.63,5702686.9,28800.0,-355.8453256800106
1561,686517.63,5702686.9,28800.0,-353.5213594748161
1784,687517.63,5702686.9,28800.0,-351.2312235614005
2007,688517.63,5702686.9,28800.0,-348.97566513913443
2230,689517.63,5702686.9,28800.0,-346.75544178705127
2453,690517.63,5702686.9,28800.0,-344.57132098187833
2676,691517.63,5702686.9,28800.0,-342.4240795585025
2899,692517.63,5702686.9,28800.0,-340.3145031103953
3122,693517.63,5702686.9,28800.0,-338.24338532765483
3345,694517.63,5702686.9,28800.0,-336.21152727048366
3568,695517.63,5702686.9,28800.0,-334.21973657612267
3791,696517.63,5702686.9,28800.0,-332.2688265975016
4014,697517.63,5702686.9,28800.0,-328.3552262477572
4237,698517.63,5702686.9,28800.0,-326.1558145103761
4460,699517.63,5702686.9,28800.0,-323.9951597569588
4683,700517.63,5702686.9,28800.0,-321.8741406518623
4906,701517.63,5702686.9,28800.0,-319.7936457616929
5129,702517.63,5702686.9,28800.0,-317.75457266399246
5352,703517.63,5702686.9,28800.0,-315.7578269677098
5575,704517.63,5702686.9,28800.0,-313.8043212429109
5798,705517.63,5702686.9,28800.0,-311.89497385758347
6021,706517.63,5702686.9,28800.0,-310.03070771987643
6244,707517.63,5702686.9,28800.0,-308.21244892465654
6467,708517.63,5702686.9,28800.0,-306.4411253038883
6690,709517.63,5702686.9,28800.0,-304.7176648810326
6913,710517.63,5702686.9,28800.0,-303.04299423042573
7136,711517.63,5702686.9,28800.0,-301.418036743434
7359,712517.63,5702686.9,28800.0,-299.8437108040788
7582,713517.63,5702686.9,28800.0,-298.3209278777865
7805,714517.63,5702686.9,28800.0,-296.8505905179334
8028,715517.63,5702686.9,28800.0,-295.4335902959105
8251,716517.63,5702686.9,28800.0,-294.070805661526
8474,717517.63,5702686.9,28800.0,-292.7630997416721
8697,718517.63,5702686.9,28800.0,-291.5113180862994
8920,719517.63,5702686.9,28800.0,-290.31628637184286
9143,720517.63,5702686.9,28800.0,-289.1788080733192
9366,721517.63,5702686.9,28800.0,-289.5891860032985
9589,722517.63,5702686.9,28800.0,-285.79213759614305
9812,723517.63,5702686.9,28800.0,-282.001573313179
10035,724517.63,5702686.9,28800.0,-278.2178000464949
10258,725517.63,5702686.9,28800.0,-274.4411437612353
10481,726517.63,5702686.9,28800.0,-270.6719509486029
10704,727517.63,5702686.9,28800.0,-266.9105902082605
10927,728517.63,5702686.9,28800.0,-263.1574539730932
11150,729517.63,5702686.9,28800.0,-259.4129603906921
11373,730517.63,5702686.9,28800.0,-255.67755537748374
11596,731517.63,5702686.9,28800.0,-251.9517148631594
11819,732517.63,5702686.9,28800.0,-248.2359472449779
12042,733517.63,5702686.9,28800.0,-244.5307960736456
12265,734517.63,5702686.9,28800.0,-240.83684299482525
12488,735517.63,5702686.9,28800.0,-237.15471097292337
12711,736517.63,5702686.9,28800.0,-233.48506782665544
12934,737517.63,5702686.9,28800.0,-229.8286301090218
13157,738517.63,5702686.9,28800.0,-226.18616736773478
13380,739517.63,5702686.9,28800.0,-222.55850682584915
13603,740517.63,5702686.9,28800.0,-218.94653852633598
13826,741517.63,5702686.9,28800.0,-215.3512209886079
14049,742517.63,5702686.9,28800.0,-211.7735874295058
14272,743517.63,5702686.9,28800.0,-208.21475260593627
14495,744517.63,5702686.9,28800.0,-204.6759203411164
14718,745517.63,5702686.9,28800.0,-201.1583918010885
14941,746517.63,5702686.9,28800.0,-197.66357459261678
15164,747517.63,5702686.9,28800.0,-194.19299275747838
15387,748517.63,5702686.9,28800.0,-190.74829774112052
15610,749517.63,5702686.9,28800.0,-187.33128041513237
15833,750517.63,5702686.9,28800.0,-183.9438842322589
16056,751517.63,5702686.9,28800.0,-180.58821958880628
16279,752517.63,5702686.9,28800.0,-177.26657946101005
16502,753517.63,5702686.9,28800.0,-173.98145636765042
16725,754517.63,5702686.9,28800.0,-170.73556068884605
16948,755517.63,5702686.9,28800.0,-167.5318403379656
17171,756517.63,5702686.9,28800.0,-164.37350173677365
17394,757517.63,5702686.9,28800.0,-161.26403197941238
17617,758517.63,5702686.9,28800.0,-158.20722198405372
17840,759517.63,5702686.9,28800.0,-155.20719031682214
18063,760517.63,5702686.9,28800.0,-152.26840722520444
18286,761517.63,5702686.9,28800.0,-149.39571823184835
