personId,age,sex,economic_status,income,carAvail,restricted_mobility,homeX,homeY,accessibility,brainExpBeta
berlin_4c82f76f,53,f,low,900.0,always,false,800676.1017841911,5819542.957020182,1.4390175724536232E-7,1.0,
berlin_d43712ed,50,m,very_low,500.0,always,false,797594.4092854825,5822179.965898336,1.9214997811503798E-6,1.0,
berlin_68520aad,39,f,very_high,5600.0,always,false,794290.4064598768,5823508.211784931,0.011127314447946906,1.0,
berlin_145d2b84,2,m,medium,3000.0,never,false,798119.1483315851,5818214.02222605,9.698246922763526E-5,1.0,
berlin_9a189a45,65,m,very_low,499.0,always,false,806180.3921721779,5822383.005026165,1.4678229705998437E-8,1.0,
berlin_0737db38,32,f,medium,3000.0,always,false,798916.0692486532,5827004.093988602,1.1269760493425156E-7,1.0,
berlin_9e958be2,28,f,very_low,900.0,always,false,791095.9892232233,5836986.509711204,4.465998494272499E-7,1.0,
berlin_44e2b80c,51,f,medium,2600.0,always,false,786883.3037864037,5830403.016267786,0.01600486990519415,1.0,
bb_62ac17e6,58,m,medium,2000.0,always,false,818485.8,5797849.55,1.6804720336207237E-11,1.0,
berlin_7cd311cc,32,f,medium,3000.0,always,false,800258.8326757267,5823693.9804548,7.652749194572778E-7,1.0,
berlin_c09d0da3,59,f,low,900.0,always,true,804919.908157015,5831294.76704804,6.383163441687174E-5,1.0,
berlin_911b9982,2,m,low,2000.0,never,false,809846.1007011367,5820813.100529376,2.0672890726759322E-7,1.0,
bb_da9f0b55,13,f,very_high,5600.0,never,false,822198.25,5838681.68,4.5502910484223853E-7,1.0,
berlin_fa27bc01,52,m,low,3000.0,always,false,795193.2427854068,5818038.159010578,3.1348388355096295E-4,1.0,
bb_3bc9bd2b,25,f,low,1500.0,always,false,818322.98,5796154.61,9.100763195060393E-14,1.0,
berlin_9f45deda,88,m,medium,1500.0,always,false,781471.3933501302,5828175.706858233,0.033611692513227424,1.0,
bb_12627027,42,f,very_low,900.0,always,false,795851.24,5845412.18,1.587945595113018E-8,1.0,
bb_600e9504,53,m,medium,3600.0,always,false,786312.49,5812198.48,5.8186093605121126E-5,1.0,
berlin_ec1e3b73,5,m,high,3600.0,never,false,796599.1626291637,5835077.800707308,0.0017406087775362282,1.0,
bb_e440194b,98,m,low,1500.0,always,true,801151.97,5855776.21,7.359478032330826E-10,1.0,
berlin_4c30c979,36,m,high,4600.0,always,false,798243.874278883,5829514.385826095,3.0483265300666E-5,1.0,
berlin_a18014b4,24,f,very_low,900.0,always,false,797503.3228387057,5826137.612734547,3.684055976488445E-8,1.0,
