personId,age,sex,economic_status,income,carAvail,restricted_mobility,homeX,homeY,accessibility,brainExpBeta
bb_0b4b0136,2,m,very_high,5600.0,never,false,815367.79,5831184.08,7.929533465726756E-35,1.0,
berlin_4024311d,54,f,medium,2000.0,always,false,798532.3644122409,5829209.394950645,4.641606455033178E-5,1.0,
berlin_ab13a85f,35,f,medium,2000.0,always,false,804221.6497607639,5819163.87869949,1.4381327877423379E-18,1.0,
berlin_e92fd90e,52,f,low,900.0,always,true,782968.6364113822,5827242.847506017,1.0720708282951951E-5,1.0,
berlin_1308ae03,42,m,very_high,5600.0,always,false,800883.4565919049,5825525.516283688,0.013935263015201845,1.0,
berlin_3724ef23,84,m,high,3600.0,always,false,799918.9295883072,5834684.350738587,8.597256170913114E-15,1.0,
bb_b77d74ac,90,m,medium,1500.0,always,false,768554.88,5834528.99,6.491582965436972E-51,1.0,
bb_cef07f98,7,m,medium,3600.0,never,false,773844.75,5831952.57,3.720578193292861E-26,1.0,
berlin_a2adf43d,43,f,high,4600.0,always,false,794480.8743917301,5837979.851794217,1.0914080330627802E-21,1.0,
bb_a80a449f,25,f,medium,2600.0,always,false,815695.37,5804032.68,2.621145532749286E-55,1.0,
berlin_5ec75c13,68,m,high,3000.0,always,false,794240.089303917,5825520.621427566,6.329973731602711E-9,1.0,
berlin_2215e4f3,72,m,medium,2000.0,always,false,795921.259115912,5832430.586190085,1.597092485317491E-11,1.0,
berlin_a171a8a7,2,m,high,3600.0,never,false,780705.7904575113,5828419.164224106,1.3542744327735364E-9,1.0,
bb_0f3f0f92,62,m,high,3600.0,always,false,774369.07,5803897.93,3.134615156219947E-51,1.0,
bb_ced32f62,97,m,low,1500.0,always,false,774016.85,5831231.63,9.605233140989061E-33,1.0,
berlin_63197be7,62,f,medium,1500.0,always,false,794936.0752353332,5838313.749660769,8.253356016988663E-29,1.0,
berlin_7917a263,45,f,medium,1500.0,always,false,810634.6672137901,5815484.490840301,3.901058066767463E-34,1.0,
berlin_a920b7b3,5,m,medium,2600.0,never,false,799412.2201011397,5829401.367370327,0.004471653432286726,1.0,
berlin_7907b826,42,f,low,900.0,always,false,792257.2413856168,5838315.042925626,1.322929171909027E-23,1.0,
berlin_e317f336,32,f,high,2600.0,always,false,798069.5146239256,5824341.110005248,1.7380284601793228E-4,1.0,
berlin_e45f871e,19,f,very_low,500.0,always,false,791348.1253459819,5823531.531864162,1.850286279192946E-4,1.0,
berlin_1e4ffa4f,19,f,high,3600.0,always,false,794882.8463230438,5825838.437005264,1.2346638479698612E-5,1.0,
berlin_7bd5c239,26,f,medium,2600.0,always,false,800258.3626206751,5823202.321820711,2.5606881605160664E-6,1.0,
berlin_ce191fb5,47,f,medium,3000.0,always,false,792672.807658229,5839267.556533958,2.2710004388399243E-25,1.0,
berlin_b1478a4f,77,m,medium,3000.0,always,true,801902.1216533305,5830890.6815868495,3.4412813635356364E-6,1.0,
bb_30049555,36,f,high,4600.0,always,false,783410.57,5780728.06,1.2476901869816107E-25,1.0,
bb_a5f039f7,13,m,very_low,2000.0,never,false,782282.04,5849653.39,2.3649364125843646E-48,1.0,
berlin_e1c32b5b,13,m,medium,2000.0,never,false,800709.2339773152,5826022.832997173,0.06308116930076016,1.0,
berlin_3213d791,12,m,very_low,2000.0,never,false,800333.4049169505,5834408.547878604,6.94787875415323E-11,1.0,
berlin_a1dc0ab5,39,f,low,3000.0,always,false,795330.2463881761,5835851.47676951,9.826633767047996E-17,1.0,
berlin_92456b27,34,f,high,3000.0,always,false,782545.9972919701,5826941.04537859,7.277317489774049E-7,1.0,
berlin_67355dff,98,m,medium,1500.0,always,false,803815.883750713,5827316.049432377,4.209712564226488E-12,1.0,
berlin_4b1e5240,81,m,high,3600.0,always,false,802493.408611365,5827625.165363032,4.791737189624494E-9,1.0,
berlin_3849a526,52,f,medium,2600.0,always,false,789338.0262023937,5815037.280599794,1.5873128431113919E-24,1.0,
berlin_ab869216,81,m,high,3000.0,always,false,806869.9916050641,5825556.755537656,2.1477392147990406E-20,1.0,
berlin_4a7e1713,13,m,medium,3600.0,never,false,806316.4006203956,5823823.825952541,2.1643798528487005E-15,1.0,
berlin_db2c9e8f,92,m,medium,2600.0,always,false,803786.6255397641,5830164.909306534,6.253263842114669E-11,1.0,
bb_2549933a,61,f,very_low,500.0,always,false,789400.52,5858684.44,9.3123846360385E-90,1.0,
berlin_d3d3991f,52,f,medium,2000.0,always,false,799869.1907504166,5834557.288756209,2.8627180383423284E-11,1.0,
berlin_854d1753,47,f,medium,2000.0,always,false,795278.4067432894,5824322.755094185,1.9465559604186185E-6,1.0,
bb_9767712b,60,m,very_high,5600.0,always,false,801041.36,5810407.32,2.2163771942074314E-46,1.0,
berlin_d079bfd0,43,m,medium,2600.0,always,false,793922.4970585352,5828947.687272815,1.2930560188438852E-4,1.0,
berlin_65e38eb9,9,m,very_high,5600.0,never,false,801990.4864252424,5820876.164978683,6.736623335085339E-13,1.0,
berlin_079b043c,48,f,medium,3600.0,always,false,811214.9203005136,5828537.680842991,1.8484142071436299E-25,1.0,
berlin_c5e6f829,42,f,medium,2600.0,always,true,808291.8353505277,5831411.910025059,4.803245708788323E-19,1.0,
berlin_5f692fdd,26,m,medium,3000.0,always,false,796763.2826191017,5832790.460621913,3.6714072351589506E-9,1.0,
berlin_73617770,44,f,medium,3000.0,always,false,799173.0282459904,5815742.853113168,1.37407617644135E-23,1.0,
bb_3b444f66,73,f,low,900.0,always,true,779280.51,5810632.84,5.935758242555784E-56,1.0,
berlin_7e62e256,84,m,medium,3000.0,always,false,803934.0621097484,5829492.277865569,2.0892476248295696E-11,1.0,
berlin_bced0f5b,52,f,low,900.0,always,false,808297.4803913097,5821604.62626131,1.6122456839685706E-21,1.0,
berlin_ecc8f42d,73,m,very_high,5600.0,always,false,811851.2361268164,5822760.632134427,3.034698106915842E-36,1.0,
berlin_97cc9a32,4,m,medium,3000.0,never,false,812826.7637144208,5829988.119065341,5.812940407648863E-29,1.0,
berlin_20252fd2,53,f,medium,2600.0,always,false,804908.6738822563,5827622.587216841,7.436188863101288E-12,1.0,
berlin_03baf743,36,f,medium,2600.0,always,false,803491.7891181489,5832090.36466414,2.033854156329719E-9,1.0,
berlin_a1564d67,34,f,medium,2000.0,always,false,804950.6982796877,5827670.356968458,6.009755660926584E-12,1.0,
berlin_f84cb806,93,m,medium,2000.0,always,true,799056.5706913403,5819258.926690232,2.3060570339321444E-20,1.0,
berlin_50e44e34,62,f,medium,2000.0,always,false,793306.2536007033,5823542.007999915,2.0613246595105797E-8,1.0,
berlin_1dbeaf7a,77,m,medium,2000.0,always,true,811582.7032653,5819169.265305742,1.1303027604994075E-39,1.0,
berlin_1f34429d,68,m,medium,3000.0,always,false,790907.5765220758,5824907.559378198,0.00915916739655454,1.0,
bb_a1996ef5,72,f,very_low,900.0,always,false,810426.77,5849035.18,3.1177532130252016E-64,1.0,
berlin_65c8a169,24,f,very_low,499.0,always,false,790743.9911222515,5827806.306832827,7.074672194138415E-6,1.0,
