personId,time,mode,age,sex,economic_status,income,restricted_mobility,homeX,homeY,accessibility
bb_011fd3f0,28800.0,pt,10,m,low,2000.0,false,816482.14,5808637.91,-22.513333333333332,
bb_00dd26ad,28800.0,pt,55,m,very_low,500.0,false,820337.96,5834416.84,-18.943333333333335,
bb_0083c29b,28800.0,pt,55,m,very_low,500.0,true,770182.15,5828747.02,-23.713333333333335,
bb_0214075b,28800.0,pt,18,f,low,2000.0,false,775707.67,5814663.74,-14.813333333333334,
bb_000775af,28800.0,pt,50,m,medium,2000.0,false,824650.27,5828900.32,-22.943333333333335,
bb_00f37122,28800.0,pt,22,m,very_low,900.0,false,770867.39,5813322.04,-17.613333333333333,
bb_01e8e15b,28800.0,pt,14,m,high,3600.0,false,808538.53,5838068.41,-19.443333333333335,
bb_007236eb,28800.0,pt,26,m,low,1500.0,false,777735.49,5814648.86,-12.213333333333335,
bb_018bd3b9,28800.0,pt,33,f,low,1500.0,false,792185.69,5815505.43,-13.613333333333335,
bb_0124bdf0,28800.0,pt,24,m,high,3600.0,false,783916.52,5840368.43,-16.21333333333333,
bb_0122bb55,28800.0,pt,8,m,medium,3000.0,false,809580.42,5799931.03,-17.61333333333334,
bb_0220a496,28800.0,pt,42,m,high,4600.0,false,877896.29,5813469.98,-20.213333333333342,
bb_00d3f7b2,28800.0,pt,80,m,medium,2600.0,false,788252.54,5814952.0,-16.213333333333335,
bb_00cf6742,28800.0,pt,86,f,very_high,5600.0,true,780967.55,5803892.37,-24.213333333333335,
bb_0060ca0f,28800.0,pt,23,m,low,900.0,false,779314.55,5810232.56,-17.61333333333334,
bb_0083fddf,28800.0,pt,53,m,low,900.0,false,800016.59,5806430.77,-25.613333333333333,
bb_007e776d,28800.0,pt,37,m,high,3600.0,false,753871.5,5869368.35,-24.21333333333334,
bb_006c324f,28800.0,pt,11,m,very_high,5600.0,false,778868.14,5812588.58,-12.213333333333335,
bb_00468d84,28800.0,pt,57,m,high,3600.0,false,817951.81,5803151.66,-22.713333333333335,
bb_001162c8,28800.0,pt,33,f,medium,2600.0,false,808307.93,5842514.69,-17.913333333333334,
bb_02133c41,28800.0,pt,58,m,low,1500.0,false,755101.14,5857486.82,-36.213333333333324,
bb_01c74a75,28800.0,pt,60,m,high,3600.0,false,789164.84,5844145.56,-14.813333333333333,
bb_01e4a434,28800.0,pt,68,m,medium,2000.0,false,786915.53,5847917.31,-24.213333333333335,
bb_01c48577,28800.0,pt,81,f,low,1500.0,true,770356.48,5808873.47,-14.813333333333334,
bb_0160f6b5,28800.0,pt,68,f,low,900.0,false,812927.6,5810580.59,-29.613333333333337,
bb_01744633,28800.0,pt,41,m,high,3600.0,false,776470.57,5815858.47,-17.613333333333344,
bb_0025be67,28800.0,pt,38,m,medium,2000.0,false,786800.02,5851130.36,-22.813333333333336,
bb_01a3d101,28800.0,pt,21,m,very_high,5600.0,false,783697.42,5840702.17,-16.213333333333335,
bb_00d9d462,28800.0,pt,9,f,high,3600.0,false,806066.42,5840386.09,-17.913333333333334,
bb_005c86a1,28800.0,pt,7,f,very_high,5600.0,false,800271.03,5807681.68,-14.813333333333334,
bb_0045c4bb,28800.0,pt,74,m,medium,2000.0,false,779037.61,5812270.07,-12.213333333333335,
bb_0125a5aa,28800.0,pt,58,f,high,3000.0,false,774609.22,5815178.63,-14.813333333333334,
bb_006def2b,28800.0,pt,50,m,low,900.0,false,785958.59,5811680.76,-17.403333333333336,
bb_003c1195,28800.0,pt,73,m,medium,2600.0,false,790475.93,5802914.18,-13.613333333333337,
bb_00e12396,28800.0,pt,58,m,medium,2000.0,false,845091.56,5803587.68,-23.913333333333334,
bb_014a8414,28800.0,pt,11,m,medium,3000.0,false,818659.67,5829458.81,-14.943333333333333,
bb_00ed3bdf,28800.0,pt,95,m,very_low,900.0,true,759003.0,5790728.62,-29.61333333333334,
bb_011769b2,28800.0,pt,54,f,very_low,500.0,false,776737.06,5832921.3,-16.113333333333337,
bb_0013d048,28800.0,pt,16,m,medium,2600.0,false,790528.19,5803013.87,-13.613333333333339,
