personId,time,mode,age,sex,economic_status,carAvail,restricted_mobility,homeX,homeY,accessibility
berlin_2b69b650,28800.0,teleportedWalk,93,m,medium,always,true,793963.3982478995,5828124.124320556,-13.954999999999998,
berlin_27723bf0,28800.0,teleportedWalk,72,m,high,always,false,793909.1715082319,5828974.528314842,-13.555,
berlin_1d56d466,28800.0,teleportedWalk,29,m,very_high,always,false,799232.7204998524,5828675.902868858,-16.842,
berlin_ffbdb67e,28800.0,teleportedWalk,70,m,medium,always,false,798899.2247349676,5826949.857687959,-29.130000000000003,
berlin_00877108,28800.0,teleportedWalk,62,f,very_low,always,false,798045.9988806235,5830528.24296115,-23.305000000000003,
berlin_b879563d,28800.0,teleportedWalk,40,m,medium,always,false,794983.3974704649,5828820.1525723515,-3.3966666666666665,
berlin_e6ab7ed4,28800.0,teleportedWalk,33,f,medium,always,false,797523.5728275615,5832630.609875155,-22.376666666666665,
berlin_5235e7b8,28800.0,teleportedWalk,49,m,medium,always,false,794826.0267119752,5829276.163384489,-4.976666666666667,
berlin_39a498a1,28800.0,teleportedWalk,37,f,low,always,false,799694.0221101155,5826663.523687822,-23.763333333333335,
berlin_2663da27,28800.0,teleportedWalk,87,m,medium,always,false,794248.157471247,5832296.748064645,-29.6,
berlin_ffd53842,28800.0,teleportedWalk,41,m,very_low,always,false,798433.916443411,5828656.090249688,-14.566666666666666,
berlin_237694b4,28800.0,teleportedWalk,22,f,medium,always,false,794704.5594465102,5832216.769882004,-16.734,
berlin_e85566a3,28800.0,teleportedWalk,63,m,medium,always,false,796969.7662725574,5832022.241417684,-27.465000000000003,
berlin_b3d82ecc,28800.0,teleportedWalk,43,f,medium,always,false,794949.5989593191,5830097.625928372,-7.796666666666667,
berlin_c1868170,28800.0,teleportedWalk,42,f,low,always,false,796477.4181730982,5829982.015552135,-7.700000000000001,
berlin_b0062887,28800.0,teleportedWalk,93,m,medium,always,true,799687.4602777901,5826545.187389607,-36.035,
berlin_95e41f3a,28800.0,teleportedWalk,58,f,very_high,always,true,794750.9207942056,5830681.5951773655,-10.98,
berlin_231da4f1,28800.0,teleportedWalk,28,f,medium,always,true,799594.4005951013,5827147.262343643,-20.016,
berlin_7956ee16,28800.0,teleportedWalk,60,m,low,always,true,797268.1003024633,5832114.703980928,-29.075,
berlin_5ccc2bc5,28800.0,teleportedWalk,8,m,very_high,never,false,796933.7851588996,5831580.907531644,-16.130000000000003,
berlin_8c22e6fc,28800.0,teleportedWalk,61,f,medium,always,true,796804.7371049946,5832904.251703027,-33.559999999999995,
berlin_db7162f7,28800.0,teleportedWalk,21,f,high,always,false,795920.3266110818,5830540.593784792,-8.421,
berlin_99d015ad,28800.0,teleportedWalk,39,f,very_high,always,false,794720.7002839462,5830565.560169491,-10.503333333333334,
berlin_c32cbfef,28800.0,teleportedWalk,32,f,high,always,false,796213.9570516488,5831398.303121666,-14.026666666666667,
berlin_968c3d6a,28800.0,teleportedWalk,57,f,high,always,false,800242.222029226,5828133.5049301395,-24.18,
berlin_dd51c09c,28800.0,teleportedWalk,97,m,very_low,always,true,794769.5868619492,5827967.408107498,-9.17,
berlin_dd3f087d,28800.0,teleportedWalk,77,m,medium,always,false,796181.5753641757,5831429.501774565,-21.225,
berlin_39f256b8,28800.0,teleportedWalk,13,m,very_high,never,false,795472.1806548983,5830260.180321364,-7.826666666666667,
berlin_64a8baac,28800.0,teleportedWalk,47,f,low,always,false,795765.5709928772,5829247.983371668,-2.606666666666667,
berlin_ed0e2652,28800.0,teleportedWalk,21,f,medium,always,false,796370.333640547,5830399.436826792,-8.391,
berlin_db719e01,28800.0,teleportedWalk,82,m,medium,always,false,800078.8421384753,5827448.303004853,-36.150000000000006,
berlin_251c276a,28800.0,teleportedWalk,31,m,very_high,always,false,796387.3807810135,5830540.128240903,-10.03,
berlin_18bfcf6d,28800.0,teleportedWalk,41,f,very_low,always,true,799011.3641170061,5828979.592704718,-17.593333333333334,
berlin_fee6d5fd,28800.0,teleportedWalk,49,f,high,always,false,795538.4912741525,5830562.697134125,-9.366666666666667,
berlin_b6add5d3,28800.0,teleportedWalk,62,f,high,always,false,795693.7362495381,5830714.788348028,-15.225000000000001,
berlin_f3643540,28800.0,teleportedWalk,28,f,medium,always,false,798122.7599286626,5827226.223787039,-13.686,
berlin_b9de6fe7,28800.0,teleportedWalk,20,f,very_low,always,false,798738.2562438549,5829760.970382547,-15.255000000000003,
berlin_af17dc30,28800.0,teleportedWalk,43,m,high,always,false,796138.2535701441,5831804.407911152,-16.026666666666667,
berlin_32dd7f1b,28800.0,teleportedWalk,60,f,high,always,false,793677.7948027928,5828843.174737849,-15.275,
berlin_ddff2e2a,28800.0,teleportedWalk,17,m,medium,never,false,798310.371474171,5829838.219313855,-13.494,
berlin_d768d42d,28800.0,teleportedWalk,64,m,very_high,always,false,796345.5053189164,5825742.262554891,-24.21,
berlin_fdf6f356,28800.0,teleportedWalk,86,m,low,always,false,796823.8768059462,5831742.040818744,-25.009999999999998,
berlin_15adc446,28800.0,teleportedWalk,97,m,low,always,true,797005.5398799168,5831091.204741668,-21.064999999999998,
berlin_9f73c0b6,28800.0,teleportedWalk,60,f,medium,always,false,796768.0935855748,5830373.336559471,-15.355,
berlin_4e3fae05,28800.0,teleportedWalk,92,m,low,always,true,796396.4404369274,5831912.997169793,-25.270000000000003,
berlin_fbee418e,28800.0,teleportedWalk,1,m,medium,never,false,798934.2364606692,5827615.212471963,-18.166666666666664,
