id,xcoord,ycoord,time,teleportedWalk_accessibility
0,792147.4085589435,5825645.83349804,28800.0,-24.323333333333338
38,792347.4085589435,5825645.83349804,28800.0,-23.556666666666665
76,792547.4085589435,5825645.83349804,28800.0,-22.813333333333333
114,792747.4085589435,5825645.83349804,28800.0,-22.096666666666668
152,792947.4085589435,5825645.83349804,28800.0,-21.403333333333332
190,793147.4085589435,5825645.83349804,28800.0,-20.736666666666665
228,793347.4085589435,5825645.83349804,28800.0,-20.106666666666666
266,793547.4085589435,5825645.83349804,28800.0,-19.509999999999998
304,793747.4085589435,5825645.83349804,28800.0,-18.95
342,793947.4085589435,5825645.83349804,28800.0,-18.433333333333334
380,794147.4085589435,5825645.83349804,28800.0,-17.96
418,794347.4085589435,5825645.83349804,28800.0,-17.54
456,794547.4085589435,5825645.83349804,28800.0,-17.17
494,794747.4085589435,5825645.83349804,28800.0,-16.856666666666666
532,794947.4085589435,5825645.83349804,28800.0,-16.6
570,795147.4085589435,5825645.83349804,28800.0,-16.406666666666666
608,795347.4085589435,5825645.83349804,28800.0,-16.28
646,795547.4085589435,5825645.83349804,28800.0,-16.21666666666667
684,795747.4085589435,5825645.83349804,28800.0,-16.223333333333333
722,795947.4085589435,5825645.83349804,28800.0,-16.293333333333333
760,796147.4085589435,5825645.83349804,28800.0,-16.43
798,796347.4085589435,5825645.83349804,28800.0,-16.63
836,796547.4085589435,5825645.83349804,28800.0,-16.893333333333334
874,796747.4085589435,5825645.83349804,28800.0,-17.21333333333333
912,796947.4085589435,5825645.83349804,28800.0,-17.59
950,797147.4085589435,5825645.83349804,28800.0,-18.02
988,797347.4085589435,5825645.83349804,28800.0,-18.496666666666666
1026,797547.4085589435,5825645.83349804,28800.0,-19.02
1064,797747.4085589435,5825645.83349804,28800.0,-19.583333333333332
1102,797947.4085589435,5825645.83349804,28800.0,-20.183333333333334
1140,798147.4085589435,5825645.83349804,28800.0,-20.82
1178,798347.4085589435,5825645.83349804,28800.0,-21.49
1216,798547.4085589435,5825645.83349804,28800.0,-22.186666666666667
1254,798747.4085589435,5825645.83349804,28800.0,-22.906666666666666
1292,798947.4085589435,5825645.83349804,28800.0,-23.653333333333332
1330,799147.4085589435,5825645.83349804,28800.0,-24.423333333333336
1368,799347.4085589435,5825645.83349804,28800.0,-25.21
1406,799547.4085589435,5825645.83349804,28800.0,-26.013333333333335
1444,799747.4085589435,5825645.83349804,28800.0,-26.836666666666666
1482,799947.4085589435,5825645.83349804,28800.0,-27.669999999999998
1520,800147.4085589435,5825645.83349804,28800.0,-28.519999999999996
1558,800347.4085589435,5825645.83349804,28800.0,-29.383333333333333
1,792147.4085589435,5825845.83349804,28800.0,-23.643333333333334
39,792347.4085589435,5825845.83349804,28800.0,-22.85333333333333
77,792547.4085589435,5825845.83349804,28800.0,-22.086666666666666
115,792747.4085589435,5825845.83349804,28800.0,-21.343333333333334
153,792947.4085589435,5825845.83349804,28800.0,-20.626666666666665
191,793147.4085589435,5825845.83349804,28800.0,-19.936666666666667
229,793347.4085589435,5825845.83349804,28800.0,-19.276666666666667
267,793547.4085589435,5825845.83349804,28800.0,-18.653333333333336
305,793747.4085589435,5825845.83349804,28800.0,-18.07
343,793947.4085589435,5825845.83349804,28800.0,-17.526666666666667
381,794147.4085589435,5825845.83349804,28800.0,-17.03
419,794347.4085589435,5825845.83349804,28800.0,-16.583333333333332
457,794547.4085589435,5825845.83349804,28800.0,-16.189999999999998
495,794747.4085589435,5825845.83349804,28800.0,-15.856666666666667
533,794947.4085589435,5825845.83349804,28800.0,-15.586666666666668
571,795147.4085589435,5825845.83349804,28800.0,-15.38
609,795347.4085589435,5825845.83349804,28800.0,-15.243333333333334
647,795547.4085589435,5825845.83349804,28800.0,-15.176666666666668
685,795747.4085589435,5825845.83349804,28800.0,-15.183333333333334
723,795947.4085589435,5825845.83349804,28800.0,-15.260000000000002
761,796147.4085589435,5825845.83349804,28800.0,-15.403333333333332
799,796347.4085589435,5825845.83349804,28800.0,-15.616666666666667
837,796547.4085589435,5825845.83349804,28800.0,-15.896666666666665
875,796747.4085589435,5825845.83349804,28800.0,-16.236666666666665
913,796947.4085589435,5825845.83349804,28800.0,-16.636666666666667
951,797147.4085589435,5825845.83349804,28800.0,-17.09
989,797347.4085589435,5825845.83349804,28800.0,-17.593333333333334
1027,797547.4085589435,5825845.83349804,28800.0,-18.14
1065,797747.4085589435,5825845.83349804,28800.0,-18.73
1103,797947.4085589435,5825845.83349804,28800.0,-19.36
1141,798147.4085589435,5825845.83349804,28800.0,-20.023333333333333
1179,798347.4085589435,5825845.83349804,28800.0,-20.71666666666667
1217,798547.4085589435,5825845.83349804,28800.0,-21.436666666666667
1255,798747.4085589435,5825845.83349804,28800.0,-22.183333333333334
1293,798947.4085589435,5825845.83349804,28800.0,-22.953333333333333
1331,799147.4085589435,5825845.83349804,28800.0,-23.743333333333332
1369,799347.4085589435,5825845.83349804,28800.0,-24.553333333333335
1407,799547.4085589435,5825845.83349804,28800.0,-25.380000000000003
1445,799747.4085589435,5825845.83349804,28800.0,-26.22
1483,799947.4085589435,5825845.83349804,28800.0,-27.076666666666668
1521,800147.4085589435,5825845.83349804,28800.0,-27.94333333333333
1559,800347.4085589435,5825845.83349804,28800.0,-28.823333333333338
2,792147.4085589435,5826045.83349804,28800.0,-22.99
40,792347.4085589435,5826045.83349804,28800.0,-22.176666666666666
78,792547.4085589435,5826045.83349804,28800.0,-21.386666666666667
116,792747.4085589435,5826045.83349804,28800.0,-20.616666666666667
154,792947.4085589435,5826045.83349804,28800.0,-19.873333333333335
192,793147.4085589435,5826045.83349804,28800.0,-19.156666666666666
230,793347.4085589435,5826045.83349804,28800.0,-18.47
268,793547.4085589435,5826045.83349804,28800.0,-17.816666666666666
306,793747.4085589435,5826045.83349804,28800.0,-17.203333333333333
344,793947.4085589435,5826045.83349804,28800.0,-16.633333333333333
382,794147.4085589435,5826045.83349804,28800.0,-16.11
420,794347.4085589435,5826045.83349804,28800.0,-15.636666666666667
458,794547.4085589435,5826045.83349804,28800.0,-15.219999999999999
496,794747.4085589435,5826045.83349804,28800.0,-14.866666666666667
534,794947.4085589435,5826045.83349804,28800.0,-14.576666666666668
572,795147.4085589435,5826045.83349804,28800.0,-14.356666666666667
610,795347.4085589435,5826045.83349804,28800.0,-14.209999999999999
648,795547.4085589435,5826045.83349804,28800.0,-14.139999999999999
686,795747.4085589435,5826045.83349804,28800.0,-14.143333333333333
724,795947.4085589435,5826045.83349804,28800.0,-14.223333333333334
762,796147.4085589435,5826045.83349804,28800.0,-14.379999999999999
800,796347.4085589435,5826045.83349804,28800.0,-14.61
838,796547.4085589435,5826045.83349804,28800.0,-14.906666666666666
876,796747.4085589435,5826045.83349804,28800.0,-15.27
914,796947.4085589435,5826045.83349804,28800.0,-15.693333333333332
952,797147.4085589435,5826045.83349804,28800.0,-16.173333333333332
990,797347.4085589435,5826045.83349804,28800.0,-16.703333333333333
1028,797547.4085589435,5826045.83349804,28800.0,-17.28
1066,797747.4085589435,5826045.83349804,28800.0,-17.9
1104,797947.4085589435,5826045.83349804,28800.0,-18.556666666666665
1142,798147.4085589435,5826045.83349804,28800.0,-19.246666666666666
1180,798347.4085589435,5826045.83349804,28800.0,-19.96666666666667
1218,798547.4085589435,5826045.83349804,28800.0,-20.713333333333335
1256,798747.4085589435,5826045.83349804,28800.0,-21.486666666666665
1294,798947.4085589435,5826045.83349804,28800.0,-22.28
1332,799147.4085589435,5826045.83349804,28800.0,-23.093333333333334
1370,799347.4085589435,5826045.83349804,28800.0,-23.923333333333332
1408,799547.4085589435,5826045.83349804,28800.0,-24.773333333333333
1446,799747.4085589435,5826045.83349804,28800.0,-25.633333333333333
1484,799947.4085589435,5826045.83349804,28800.0,-26.506666666666664
1522,800147.4085589435,5826045.83349804,28800.0,-27.39333333333333
1560,800347.4085589435,5826045.83349804,28800.0,-28.286666666666665
3,792147.4085589435,5826245.83349804,28800.0,-22.363333333333333
41,792347.4085589435,5826245.83349804,28800.0,-21.53
79,792547.4085589435,5826245.83349804,28800.0,-20.713333333333335
117,792747.4085589435,5826245.83349804,28800.0,-19.919999999999998
155,792947.4085589435,5826245.83349804,28800.0,-19.14666666666667
193,793147.4085589435,5826245.83349804,28800.0,-18.403333333333332
231,793347.4085589435,5826245.83349804,28800.0,-17.686666666666667
269,793547.4085589435,5826245.83349804,28800.0,-17.006666666666668
307,793747.4085589435,5826245.83349804,28800.0,-16.36
345,793947.4085589435,5826245.83349804,28800.0,-15.759999999999998
383,794147.4085589435,5826245.83349804,28800.0,-15.203333333333333
421,794347.4085589435,5826245.83349804,28800.0,-14.703333333333333
459,794547.4085589435,5826245.83349804,28800.0,-14.259999999999998
497,794747.4085589435,5826245.83349804,28800.0,-13.88
535,794947.4085589435,5826245.83349804,28800.0,-13.57
573,795147.4085589435,5826245.83349804,28800.0,-13.333333333333334
611,795347.4085589435,5826245.83349804,28800.0,-13.176666666666666
649,795547.4085589435,5826245.83349804,28800.0,-13.099999999999998
687,795747.4085589435,5826245.83349804,28800.0,-13.103333333333332
725,795947.4085589435,5826245.83349804,28800.0,-13.193333333333333
763,796147.4085589435,5826245.83349804,28800.0,-13.36
801,796347.4085589435,5826245.83349804,28800.0,-13.606666666666667
839,796547.4085589435,5826245.83349804,28800.0,-13.926666666666666
877,796747.4085589435,5826245.83349804,28800.0,-14.313333333333333
915,796947.4085589435,5826245.83349804,28800.0,-14.763333333333334
953,797147.4085589435,5826245.83349804,28800.0,-15.273333333333333
991,797347.4085589435,5826245.83349804,28800.0,-15.833333333333332
1029,797547.4085589435,5826245.83349804,28800.0,-16.44
1067,797747.4085589435,5826245.83349804,28800.0,-17.09
1105,797947.4085589435,5826245.83349804,28800.0,-17.776666666666667
1143,798147.4085589435,5826245.83349804,28800.0,-18.496666666666666
1181,798347.4085589435,5826245.83349804,28800.0,-19.243333333333332
1219,798547.4085589435,5826245.83349804,28800.0,-20.02
