personId,time,mode,age_base,sex_base,economic_status_base,income_base,restricted_mobility_base,homeX_base,homeY_base,access_base,age_policy,sex_policy,economic_status_policy,income_policy,restricted_mobility_policy,homeX_policy,homeY_policy,access_policy,delta,pct_change
berlin_835ab2a2,28800,car,33,f,medium,1500,FALSE,793467.3418634343,5823360.318423017,-6.639501201513153,33,f,medium,1500,FALSE,793467.3418634343,5823360.318423017,-19.957142833177475,-13.317641631664323,200.5819598109149
berlin_dad99504,28800,car,58,m,medium,4600,FALSE,794917.0395673926,5833360.728828944,-4.5945621644754375,58,m,medium,4600,FALSE,794917.0395673926,5833360.728828944,-6.338733803153423,-1.7441716386779857,37.961650669648044
bb_7a2a28f3,28800,car,85,f,medium,2600,FALSE,792914.7,5808578.43,-16.59767501130776,85,f,medium,2600,FALSE,792914.7,5808578.43,-24.880002961413258,-8.282327950105497,49.90053091449775
bb_55beceef,28800,car,43,f,very_high,5600,FALSE,790165.36,5810704.15,-11.385928559872506,43,f,very_high,5600,FALSE,790165.36,5810704.15,-18.1271687824285,-6.741240222555996,59.20676725756201
berlin_e585ddb5,28800,car,49,f,medium,2000,FALSE,788102.655967547,5817153.328631813,-12.485453419751687,49,f,medium,2000,FALSE,788102.655967547,5817153.328631813,-20.850215083198712,-8.364761663447025,66.99605839075234
berlin_bb858859,28800,car,92,m,very_high,5600,FALSE,800156.6039017666,5815280.819278168,-9.393373116342879,92,m,very_high,5600,FALSE,800156.6039017666,5815280.819278168,-18.278758451035728,-8.885385334692849,94.59206213403556
berlin_b5c6ee0a,28800,car,57,f,low,900,TRUE,783361.5100318645,5830041.084267041,-17.21566752436651,57,f,low,900,TRUE,783361.5100318645,5830041.084267041,-25.12859618963818,-7.9129286652716715,45.96353091782217
bb_6853c86d,28800,car,23,m,high,5600,FALSE,813502.39,5803815.14,-14.766050935796002,23,m,high,5600,FALSE,813502.39,5803815.14,-23.456940424835377,-8.690889489039375,58.857236283608074
berlin_690d6780,28800,car,65,m,very_low,499,FALSE,789088.3289942879,5817816.647967129,-26.24322559993595,65,m,very_low,499,FALSE,789088.3289942879,5817816.647967129,-42.1806345913627,-15.937408991426746,60.72961165058019
berlin_8f366240,28800,car,13,m,medium,3000,FALSE,789492.423761698,5815770.765414867,-10.964407670044427,13,m,medium,3000,FALSE,789492.423761698,5815770.765414867,-18.8027069589319,-7.838299288887473,71.48857945424892
berlin_51f8dcd7,28800,car,94,m,high,3600,TRUE,810053.0683285833,5834044.616477105,-11.74506921272842,94,m,high,3600,TRUE,810053.0683285833,5834044.616477105,-15.54631556784664,-3.80124635511822,32.36461434385347
berlin_630f5c5e,28800,car,21,f,very_high,5600,FALSE,794714.6557172212,5824194.136009357,-3.7665827833734675,21,f,very_high,5600,FALSE,794714.6557172212,5824194.136009357,-16.82125696687308,-13.054674183499612,346.5919889276254
berlin_c91dcc33,28800,car,38,m,medium,2000,FALSE,810223.0721466481,5814624.823890834,-17.670935386863725,38,m,medium,2000,FALSE,810223.0721466481,5814624.823890834,-27.845219798944637,-10.174284412080912,57.57637719418239
berlin_20453c70,28800,car,59,f,high,3000,FALSE,795943.9672606931,5815584.793764159,-10.826944633787212,59,f,high,3000,FALSE,795943.9672606931,5815584.793764159,-20.688237582034322,-9.86129294824711,91.081032385382
berlin_5c4e8154,28800,car,60,f,low,1500,FALSE,789789.112532744,5818053.962196815,-12.572026217710526,60,f,low,1500,FALSE,789789.112532744,5818053.962196815,-22.623823892107147,-10.05179767439662,79.95368049930093
berlin_6fd81b08,28800,car,13,m,medium,2600,FALSE,798844.4636194895,5828432.663785885,-4.2550099194507744,13,m,medium,2600,FALSE,798844.4636194895,5828432.663785885,-18.1018368232338,-13.846826903783025,325.42408045832093
berlin_9616be20,28800,car,88,m,high,3600,FALSE,781910.4996449179,5828176.342788595,-10.309039510837673,88,m,high,3600,FALSE,781910.4996449179,5828176.342788595,-15.676322662176702,-5.367283151339029,52.06385275462878
berlin_c68398df,28800,car,79,m,medium,3000,FALSE,798355.0700001558,5819697.325553548,-8.141573210634043,79,m,medium,3000,FALSE,798355.0700001558,5819697.325553548,-19.025371298932672,-10.88379808829863,133.6817566669161
berlin_fabec676,28800,car,25,f,high,4600,FALSE,804364.7846211634,5823457.163271155,-8.660099863572484,25,f,high,4600,FALSE,804364.7846211634,5823457.163271155,-19.259619583302413,-10.59951971972993,122.39489020577406
bb_b5bce475,28800,car,5,m,very_low,1500,FALSE,782092.05,5809917.66,-18.46275609064027,5,m,very_low,1500,FALSE,782092.05,5809917.66,-27.16417474250965,-8.701418651869382,47.129575937368216
