personId,time,mode,age,sex,economic_status,carAvail,restricted_mobility,homeX,homeY,accessibility
bb_90933f9f,28800.0,car,50,m,medium,always,false,783556.8,5803454.9,-17.83129233378562,
bb_3ca9879b,28800.0,car,1,m,very_low,never,false,789111.49,5812159.72,-20.985504602592997,
bb_d4d3d8b9,28800.0,car,49,m,high,always,false,821888.54,5830433.93,-25.87962756058739,
bb_b34ef800,28800.0,car,32,f,low,always,false,813971.48,5830646.43,-22.95262913688189,
bb_16f26a38,28800.0,car,37,f,medium,always,false,792062.47,5813739.02,-20.532547405042134,
bb_33e0cba9,28800.0,car,48,f,high,always,false,813079.3,5811236.37,-26.557417844371116,
bb_2abce0ba,28800.0,car,55,m,very_low,always,true,814412.13,5806988.85,-21.828301776163382,
bb_ba3cb294,28800.0,car,23,m,low,always,true,786044.23,5853033.02,-10.729222570338342,
bb_2545eaca,28800.0,car,60,f,very_high,always,true,786082.43,5849805.37,-11.324564069451569,
bb_7ebec462,28800.0,car,4,m,medium,never,false,767625.3,5810818.54,-17.743191681118237,
bb_c5d44bbe,28800.0,car,90,m,medium,always,false,821892.65,5830584.14,-25.351599562578148,
bb_d89d53b3,28800.0,car,84,f,medium,always,false,767704.68,5810825.42,-17.763511191007126,
bb_cceb413c,28800.0,car,48,f,high,always,false,789965.55,5810870.79,-21.97650029496459,
bb_c2afe879,28800.0,car,63,m,low,always,false,815639.26,5801305.74,-28.283842178512987,
bb_14c6c2de,28800.0,car,23,m,very_high,always,false,775502.26,5828367.27,-15.853078515811351,
bb_505e8dcc,28800.0,car,56,m,low,always,false,784016.62,5852961.38,-12.174453343670796,
bb_ac257ef9,28800.0,car,11,m,very_low,never,false,788156.9,5815796.91,-21.260720993097454,
bb_209b653c,28800.0,car,15,m,low,never,false,806854.11,5846076.2,-25.560766498932235,
bb_480b8b9f,28800.0,car,72,m,low,always,false,821259.13,5841259.4,-24.561914215449743,
bb_9e504853,28800.0,car,56,f,high,always,true,778981.03,5812980.12,-20.708113096121714,
bb_6f6eeb41,28800.0,car,62,m,very_high,always,false,820434.26,5812723.11,-28.626935348409976,
bb_37aa2cd7,28800.0,car,93,f,medium,always,false,820839.58,5834340.91,-24.456432875183058,
bb_d7387018,28800.0,car,61,m,high,always,false,789126.29,5843989.53,-9.80742562413278,
bb_18ff6e11,28800.0,car,59,f,medium,always,true,795838.83,5842803.68,-11.85399538792123,
bb_35b5f25d,28800.0,car,57,f,medium,always,false,777227.91,5804043.9,-20.438468731514828,
bb_9187faf4,28800.0,car,9,m,medium,never,false,796628.65,5850500.48,-14.085318077506095,
bb_7f356889,28800.0,car,52,f,low,always,true,799357.73,5807931.27,-59.42644543291562,
bb_9975eac9,28800.0,car,98,m,low,always,true,770677.87,5834135.46,-13.86913242111392,
bb_0682d5f0,28800.0,car,52,f,very_low,always,true,812362.51,5812171.37,-26.011882006313975,
bb_dbbe2917,28800.0,car,70,m,high,always,false,822245.37,5818150.27,-33.07651771952569,
bb_abf91a93,28800.0,car,92,f,low,always,false,788298.37,5848544.95,-11.099441299472497,
bb_8bdcc53d,28800.0,car,29,m,low,always,true,768719.92,5806691.23,-30.945755740375226,
bb_b4440622,28800.0,car,60,m,medium,always,false,815201.75,5831231.68,-16.959349322306387,
bb_c068c956,28800.0,car,40,m,medium,always,false,784531.84,5839608.25,-7.863874054862641,
bb_42dab43f,28800.0,car,67,f,medium,always,false,818128.29,5828111.47,-24.190756081700965,
bb_a91eef32,28800.0,car,57,f,low,always,true,788304.95,5816051.33,-19.816314822977823,
bb_2a9ad835,28800.0,car,52,m,medium,always,true,821228.1,5838740.58,-25.523058928623694,
bb_528f352d,28800.0,car,64,m,medium,always,false,794808.99,5810056.6,-20.02854473117022,
bb_63e12fd0,28800.0,car,32,f,very_low,always,false,840424.0,5757122.08,-36.6136642609083,
bb_65acbedf,28800.0,car,50,f,high,always,false,778869.25,5844120.85,-9.162231926750401,
bb_b862f5f8,28800.0,car,12,m,medium,never,false,778302.6,5832546.88,-11.77251234929224,
bb_b32224cc,28800.0,car,7,f,high,never,false,772536.39,5815732.71,-19.224429972718795,
bb_88eb5ec7,28800.0,car,4,m,medium,never,false,834749.88,5834673.97,-27.77998024875216,
bb_c026d9b6,28800.0,car,15,f,medium,never,false,774034.67,5831796.22,-13.784268527256206,
bb_81504ccb,28800.0,car,58,f,very_low,always,false,812806.9,5812670.48,-26.307046072283732,
bb_420fc607,28800.0,car,46,f,high,always,false,762609.31,5835765.34,-14.783799142572157,
bb_0cd1201b,28800.0,car,62,m,very_low,always,false,786796.32,5854175.67,-28.091892778189223,
bb_58cf9c0f,28800.0,car,51,m,high,always,false,779026.93,5821203.57,-13.875906317991443,
bb_9f9afb60,28800.0,car,57,f,high,always,false,773997.3,5802747.73,-21.60316727414232,
bb_a92ecee1,28800.0,car,52,f,very_low,always,true,802994.31,5802603.04,-26.15506800379303,
bb_c9029ee4,28800.0,car,18,f,medium,always,false,813284.74,5809749.8,-27.412740290730504,
bb_5f408356,28800.0,car,72,m,medium,always,false,845889.63,5810928.67,-29.59904533223502,
bb_bf04217e,28800.0,car,17,m,low,never,false,806064.03,5845714.28,-17.944602231081923,
bb_095166ea,28800.0,car,50,f,high,always,false,786060.87,5814191.04,-14.510053360871147,
bb_30288a82,28800.0,car,16,f,high,never,false,777774.48,5814456.08,-16.45772694436562,
bb_cb86db38,28800.0,car,83,f,medium,always,false,818913.26,5829570.74,-27.50430847441005,
bb_3a54c398,28800.0,car,84,f,medium,always,false,775293.06,5831925.49,-13.306469684844085,
bb_78c94d65,28800.0,car,95,f,low,always,true,787102.38,5853554.82,-11.640145609421369,
bb_c7c8cf47,28800.0,car,1,m,low,never,false,818163.38,5823535.15,-17.770604123954453,
bb_901480ca,28800.0,car,45,f,medium,always,false,785655.09,5852098.57,-11.096788907437562,
bb_991b895a,28800.0,car,74,f,medium,always,false,781811.77,5809937.85,-21.14081907452043,
bb_95a7fbd6,28800.0,car,2,f,very_low,never,false,844078.62,5800622.65,-24.5829392904293,
bb_0f3f0f92,28800.0,car,62,m,high,always,false,774369.07,5803897.93,-25.285098275088025,
bb_23498724,28800.0,car,33,f,very_low,always,false,815658.62,5831173.91,-22.56316035606444,
bb_05814107,28800.0,car,34,m,low,always,false,761187.63,5835425.66,-16.820235771070838,
bb_7ab45e4f,28800.0,car,10,f,low,never,false,809266.89,5845788.04,-19.23047003829758,
bb_962c8813,28800.0,car,39,m,medium,always,false,786260.01,5839487.56,-8.438807302968435,
bb_b8435648,28800.0,car,65,f,medium,always,false,816901.28,5806499.84,-20.21948852864858,
bb_409de5b5,28800.0,car,74,f,high,always,false,800457.43,5810041.16,-28.618114645141915,
bb_5eab2fd8,28800.0,car,63,m,high,always,false,788639.77,5848710.97,-19.2472521202065,
bb_d16abc16,28800.0,car,33,m,very_high,always,false,845189.79,5888255.12,-27.629815721272813,
bb_79cd8ab1,28800.0,car,13,m,medium,never,false,796391.91,5843425.28,-11.922540841485493,
bb_07af4e67,28800.0,car,85,f,medium,always,false,770615.54,5814550.95,-20.446133992981892,
bb_31bef9f3,28800.0,car,65,f,very_high,always,true,779623.55,5849349.42,-11.638296084758382,
bb_5e097130,28800.0,car,22,f,very_low,always,false,765649.54,5847609.92,-12.428290939506018,
bb_1ec596d9,28800.0,car,73,m,medium,always,false,817820.23,5798901.15,-32.06198965232829,
bb_96d10eb5,28800.0,car,53,f,low,always,true,800292.65,5783537.22,-22.811222545935635,
bb_861a969d,28800.0,car,96,f,very_high,always,true,778892.99,5810164.76,-28.452761762116655,
bb_47118238,28800.0,car,40,f,high,always,false,792167.98,5840281.44,-10.837013282182417,
bb_2d7ce50f,28800.0,car,38,m,medium,always,false,744077.68,5859840.8,-25.86938905648195,
bb_816c8bd2,28800.0,car,58,m,medium,always,false,816206.2,5830255.76,-22.908101914404384,
bb_ab6a02bc,28800.0,car,32,f,very_high,always,false,785265.87,5854806.2,-11.636010264217482,
bb_778f928a,28800.0,car,40,f,medium,always,false,809464.05,5799939.07,-27.272059596520496,
bb_3c0187e7,28800.0,car,59,f,low,always,false,778897.03,5812342.11,-21.22207665325182,
bb_b637348c,28800.0,car,52,m,high,always,false,800443.01,5810458.41,-22.272356274873953,
bb_49d81935,28800.0,car,58,f,very_low,always,false,814196.97,5811243.22,-27.101859059605935,
bb_84c58592,28800.0,car,23,f,very_low,always,false,776314.13,5832472.04,-12.95565113940999,
bb_7e24e09d,28800.0,car,25,m,high,always,false,761264.36,5834959.04,-12.838946798820263,
bb_5af0b247,28800.0,car,5,m,very_high,never,false,781360.68,5810932.44,-21.643887204090824,
bb_ca87c860,28800.0,car,10,f,medium,never,false,784480.96,5839689.69,-7.889157623814448,
bb_92818fd0,28800.0,car,68,m,medium,always,false,780592.17,5836044.47,-10.302504963202981,
bb_c6400f4c,28800.0,car,51,f,high,always,false,802661.66,5858863.75,-14.579679920314089,
bb_376bc469,28800.0,car,35,f,medium,always,false,793305.68,5840102.17,-11.591695178873247,
bb_2b27ef7e,28800.0,car,37,m,very_high,always,false,773570.52,5811209.58,-18.109584794304617,
bb_d4c16a02,28800.0,car,16,m,medium,never,false,792931.11,5813733.49,-20.669906642086474,
bb_a859386b,28800.0,car,34,f,medium,always,false,741407.77,5812548.72,-31.407050544109712,
bb_6c199395,28800.0,car,69,f,medium,always,false,821941.01,5822387.41,-61.76450734911208,
bb_dc3833f0,28800.0,car,28,m,medium,always,false,751206.6,5830348.58,-20.929978810594093,
bb_5e582f85,28800.0,car,58,m,medium,always,false,761685.79,5799764.03,-18.780937565974476,
bb_30bd04c8,28800.0,car,57,f,very_low,always,true,762987.21,5810635.23,-14.44124895326571,
bb_739874c5,28800.0,car,30,f,high,always,false,816505.27,5797621.11,-32.438621212878175,
bb_58e647cf,28800.0,car,53,f,very_low,always,false,779185.36,5821554.0,-19.432133806929,
bb_98bc9e46,28800.0,car,2,m,very_low,never,false,775003.35,5816211.01,-19.689306085162787,
bb_11fd9d91,28800.0,car,51,f,high,always,false,744962.66,5797772.23,-23.682824272591123,
bb_b71fdf5f,28800.0,car,42,m,high,always,false,819466.31,5832445.8,-24.060626694614868,
bb_cd1da11e,28800.0,car,95,m,low,always,true,821943.57,5804260.79,-32.291029136787536,
bb_31fb6158,28800.0,car,59,m,low,always,false,782195.91,5795134.85,-28.064459936982306,
bb_07d3d36e,28800.0,car,61,m,low,always,true,771234.7,5794577.05,-26.98847237083464,
bb_974315d0,28800.0,car,56,f,medium,always,false,826780.21,5717731.84,-41.27995649877019,
bb_8534276d,28800.0,car,47,m,very_low,always,false,764613.84,5805961.04,-17.819586389566147,
bb_07383d59,28800.0,car,35,m,medium,always,false,790005.11,5844803.61,-26.0313248227478,
bb_1261d57c,28800.0,car,27,f,very_low,always,false,767486.48,5809833.65,-30.75286873269845,
bb_a1c9667d,28800.0,car,72,m,medium,always,false,775252.88,5813236.02,-21.795802680704092,
bb_08071708,28800.0,car,49,m,high,always,false,809288.2,5808239.03,-23.27344794173777,
bb_0167b889,28800.0,car,3,m,very_high,never,false,813957.2,5812845.04,-21.875655971553456,
bb_5fe976b4,28800.0,car,56,m,high,always,false,760155.92,5822883.73,-36.47257783375815,
bb_9f2cee2d,28800.0,car,63,m,medium,always,false,758051.77,5841612.24,-13.646437490172897,
bb_6c462517,28800.0,car,3,f,very_high,never,false,791812.98,5813588.96,-20.567732517083776,
bb_a35197de,28800.0,car,58,m,medium,always,false,775084.78,5818847.55,-17.402552418492775,
bb_402856dd,28800.0,car,53,f,high,always,false,787376.53,5844857.82,-9.468908258698672,
bb_4651fb83,28800.0,car,8,m,medium,never,false,779106.35,5810683.93,-21.675054769421834,
bb_a53aa2b3,28800.0,car,64,f,very_low,always,false,826790.46,5831557.3,-19.845808489836113,
bb_b3cb9087,28800.0,car,70,m,medium,always,true,765528.16,5823193.0,-12.519171656691823,
bb_6df5cf24,28800.0,car,66,m,medium,always,false,769845.86,5841252.82,-13.801876104847278,
bb_37a899a2,28800.0,car,52,f,high,always,false,789768.11,5844534.92,-10.176584478598825,
bb_4f2940d3,28800.0,car,29,f,medium,always,false,767770.63,5810188.77,-28.377782694190334,
bb_1b4fd6d8,28800.0,car,43,m,very_low,always,false,799245.53,5797496.39,-19.745559000422908,
bb_0c173d31,28800.0,car,30,f,very_low,always,false,807071.63,5845683.85,-17.922183103707464,
bb_3bc95818,28800.0,car,57,f,high,always,false,775603.88,5832966.24,-13.216195149816855,
bb_3ccf690a,28800.0,car,51,m,high,always,false,774653.79,5801543.92,-23.84178264777409,
bb_ce6615b6,28800.0,car,55,m,low,always,false,715153.32,5826528.79,-26.06180730569722,
bb_8ce9a2b6,28800.0,car,8,m,low,never,false,793261.32,5805574.79,-18.834131108560953,
bb_d37d98ee,28800.0,car,40,f,very_high,always,false,781795.09,5809498.21,-21.011543847295517,
bb_d244f4e7,28800.0,car,48,m,high,always,true,776023.9,5828910.77,-28.019916069749858,
bb_0d86f259,28800.0,car,14,m,medium,never,false,775752.08,5830310.54,-13.832342152596302,
bb_0740cac7,28800.0,car,16,m,medium,never,false,818349.04,5796575.33,-33.29793955201896,
bb_63411e97,28800.0,car,8,f,medium,never,false,782126.46,5845337.72,-8.854217204982724,
bb_45c81d33,28800.0,car,63,m,medium,always,false,844336.75,5805623.34,-27.322317731353348,
bb_da70828b,28800.0,car,45,f,medium,always,false,758256.92,5846652.05,-13.765673442726072,
bb_b07ba0fa,28800.0,car,12,f,high,never,false,815206.91,5809515.91,-27.850323435823327,
bb_7b779bd3,28800.0,car,2,f,medium,never,false,800717.42,5794147.03,-26.341546833252064,
bb_79ac54f7,28800.0,car,92,m,low,always,false,780862.74,5811563.98,-22.20221544807662,
bb_1cd3013d,28800.0,car,9,m,very_low,never,false,780880.71,5836186.46,-10.125532014993379,
bb_4a1bcf85,28800.0,car,37,m,high,always,true,771395.64,5828919.49,-32.18902144283371,
bb_be2129d3,28800.0,car,57,m,very_high,always,false,820087.13,5834141.48,-25.216483314738927,
bb_59cf223b,28800.0,car,59,f,medium,always,false,775191.06,5818470.41,-17.86552753529539,
bb_a5b6556e,28800.0,car,28,m,medium,always,false,811035.71,5846010.62,-20.613007959873354,
bb_23593e2e,28800.0,car,84,m,medium,always,true,816419.34,5829885.75,-24.050285312800202,
bb_1d906c5a,28800.0,car,17,m,very_low,never,false,781336.46,5809509.33,-22.92102070940005,
bb_7a717fc5,28800.0,car,55,f,medium,always,false,793347.34,5811109.28,-23.100048942104976,
bb_7b91901d,28800.0,car,37,f,very_high,always,false,762060.75,5819730.93,-19.33885809384489,
bb_677f638a,28800.0,car,37,f,very_high,always,false,814529.8,5813161.21,-22.00386196693354,
bb_a5b8402d,28800.0,car,97,m,medium,always,true,812905.46,5812464.2,-27.174513437268455,
