personId,time,mode,age,sex,economic_status,income,restricted_mobility,homeX,homeY,accessibility
bb_208cda37,28800.0,car,4,m,medium,3600.0,false,814970.52,5806036.98,-18.59601634742196,
berlin_81e6460b,28800.0,car,58,f,very_low,500.0,false,799923.0319912601,5825848.275011196,-5.69548253587406,
berlin_f722b2f4,28800.0,car,44,f,low,1500.0,false,791273.2202751446,5826967.753319535,-5.278669871856578,
berlin_1ccbeb2e,28800.0,car,80,m,high,3600.0,false,782395.955340581,5829634.186015438,-10.839538547563112,
bb_5d793cf6,28800.0,car,62,f,very_low,900.0,false,821768.95,5804025.35,-21.765572601940804,
berlin_7b2c6800,28800.0,car,62,f,high,2600.0,false,808286.1238815247,5829726.833260606,-11.319657708218582,
berlin_498cdaf5,28800.0,car,42,f,medium,3600.0,false,796942.9131640767,5823869.18316562,-4.8437871901049885,
berlin_554ae5ef,28800.0,car,72,m,medium,2600.0,false,804395.1618611899,5819869.198123848,-10.462895167786515,
bb_c5a5b734,28800.0,car,79,m,medium,2600.0,false,843310.21,5836583.18,-29.4170244880682,
berlin_0017b49c,28800.0,car,24,f,medium,3000.0,false,783903.0691105907,5830165.107421653,-9.903094687102215,
berlin_2ad63fe7,28800.0,car,74,m,high,4600.0,false,792852.985937522,5817925.318767969,-8.782887662836808,
berlin_931e351b,28800.0,car,6,m,medium,3000.0,true,782678.9059074628,5827311.425562745,-11.002824284603138,
berlin_867bbf02,28800.0,car,2,m,medium,3000.0,false,794451.8438622754,5832294.609066353,-5.085252821680237,
berlin_0c23a27d,28800.0,car,38,m,medium,3000.0,false,798283.1967465205,5835160.175469696,-6.635427887373013,
berlin_9f5e1b7b,28800.0,car,43,f,very_low,1500.0,false,804836.7173378903,5833567.3251717035,-10.12343532033589,
berlin_efe42d1a,28800.0,car,10,m,medium,3600.0,false,800011.8478347207,5830114.68953883,-5.295582173000147,
bb_7a5674b3,28800.0,car,34,m,very_high,5600.0,false,816404.31,5829882.86,-16.014633848786676,
berlin_defca4f1,28800.0,car,57,f,very_high,5600.0,false,797330.6648468073,5828897.500273393,-2.9714548393606117,
berlin_50b1f153,28800.0,car,12,m,very_high,5600.0,false,803340.8179413998,5828638.609859712,-7.114248324402373,
berlin_0eb21ed6,28800.0,car,38,f,high,3600.0,false,800671.3677286727,5814465.702405728,-11.876388593844746,
berlin_36ff2734,28800.0,car,44,f,very_high,5600.0,false,815812.9077196429,5814439.607033756,-17.056426633998107,
bb_3037ad1e,28800.0,car,18,f,low,1500.0,false,815802.54,5841240.64,-18.198887255292654,
berlin_282b3dc0,28800.0,car,52,f,very_high,5600.0,false,806638.3608007533,5830418.790148306,-9.288355061500841,
berlin_abbfd6b1,28800.0,car,16,m,low,2600.0,false,795390.1948090027,5835275.986697449,-6.283417838427601,
bb_cceb23ff,28800.0,car,63,f,medium,2000.0,false,818484.18,5803110.8,-20.904633074343042,
bb_3f9b6884,28800.0,car,53,f,medium,2000.0,false,794351.7,5840124.38,-10.906917098298305,
berlin_f0751859,28800.0,car,32,f,low,1500.0,false,796043.586370154,5815633.982192365,-11.200429407110505,
bb_5434ee08,28800.0,car,60,m,low,900.0,false,819486.48,5824593.11,-18.17743840927951,
berlin_fec88a0e,28800.0,car,59,f,medium,1500.0,false,797356.4101237846,5832339.814137535,-4.755587586406944,
berlin_73f079c8,28800.0,car,72,m,medium,2000.0,false,787605.5659986887,5817840.100820742,-10.423455518727215,
berlin_b41e5e42,28800.0,car,19,f,low,900.0,false,803364.5372908954,5827398.350702084,-6.822712088178644,
berlin_32d64808,28800.0,car,2,m,very_high,5600.0,false,794214.3263070601,5832331.480862853,-4.494102127269732,
bb_f64f57cd,28800.0,car,12,f,medium,3600.0,false,773782.94,5830777.8,-15.908330279484497,
berlin_da1f3cfd,28800.0,car,81,m,medium,2600.0,false,810282.2614190344,5822927.964183414,-14.011361470656917,
berlin_26458ddf,28800.0,car,90,m,high,3600.0,false,796707.964072217,5821228.520108342,-6.833710133130717,
berlin_27af5c5a,28800.0,car,51,f,medium,2000.0,false,793073.546524259,5826600.030233852,-3.8882202132867776,
bb_2efd8e68,28800.0,car,76,m,medium,1500.0,false,777609.22,5813003.06,-16.554462014997252,
bb_450328e3,28800.0,car,40,f,medium,3600.0,false,757019.11,5787508.75,-28.46133298611229,
berlin_2f34325d,28800.0,car,41,f,high,5600.0,false,790313.6205232474,5822576.271036638,-7.264781974202227,
berlin_60aaeb6e,28800.0,car,28,m,medium,2600.0,false,802447.3318313677,5824831.917372691,-8.600947988641702,
berlin_c3b3cecf,28800.0,car,28,m,medium,2000.0,false,800177.9483012483,5831865.764585375,-6.204141579223011,
berlin_4cb31b60,28800.0,car,74,m,low,900.0,false,798570.2849568974,5831063.545977326,-4.495509762891729,
berlin_a86b4031,28800.0,car,43,m,medium,3600.0,false,796626.4937666757,5824547.681066583,-4.471149096586662,
berlin_a6d99fe0,28800.0,car,54,f,low,900.0,true,800168.6275464792,5824750.190633164,-6.284964504926857,
berlin_a9ed7023,28800.0,car,20,f,very_low,500.0,false,795620.5058246936,5833424.206207888,-5.1931016103344145,
berlin_5c838893,28800.0,car,12,m,very_high,5600.0,false,794995.4500335625,5836357.764503401,-7.297864102545898,
berlin_724ab51c,28800.0,car,10,m,high,3600.0,false,796338.5466337029,5837199.978118917,-7.38167130722241,
berlin_c3923159,28800.0,car,9,m,medium,3000.0,false,784813.4719673777,5829808.609775221,-9.404275171473286,
berlin_be4c4db4,28800.0,car,91,m,very_low,500.0,true,799997.2975007743,5828794.199874482,-5.204752859654489,
bb_96ebbb67,28800.0,car,50,f,medium,3000.0,false,816228.38,5830136.54,-15.926930701233353,
bb_14a2efcb,28800.0,car,58,m,very_low,500.0,false,799522.29,5856316.72,-18.857050531552346,
bb_99e516af,28800.0,car,66,m,very_low,500.0,true,775406.53,5849788.94,-17.098549677829457,
