personId,time,mode,age,sex,economic_status,income,restricted_mobility,homeX,homeY,accessibility
bb_1a2af25d,28800.0,teleportedWalk,22,f,medium,2600.0,false,784441.75,5841016.13,-77.66399999999999,
berlin_b087b4ec,28800.0,teleportedWalk,49,f,high,3600.0,false,803339.2384259484,5828979.334705214,-40.07666666666667,
bb_b8a37922,28800.0,teleportedWalk,94,f,high,3600.0,false,811247.36,5794623.23,-253.77733333333333,
berlin_d03b6c67,28800.0,teleportedWalk,62,f,medium,2600.0,false,797567.4571930997,5831576.459924817,-23.066333333333333,
berlin_dde644af,28800.0,teleportedWalk,83,m,medium,2000.0,false,791624.9757880715,5829341.572993085,-27.382333333333335,
berlin_ffa192fa,28800.0,teleportedWalk,89,m,low,1500.0,false,791187.6516232972,5817897.945491279,-79.36500000000001,
berlin_afe24c91,28800.0,teleportedWalk,68,m,medium,2600.0,false,802984.950705387,5819516.975506741,-79.85033333333334,
bb_ec4f1306,28800.0,teleportedWalk,55,f,low,900.0,true,824082.0,5823798.01,-150.16,
bb_ee7e5ba4,28800.0,teleportedWalk,17,f,high,4600.0,false,800142.44,5849780.33,-100.59299999999999,
bb_fb6e240e,28800.0,teleportedWalk,68,f,low,900.0,false,789558.51,5844428.77,-113.58100000000002,
bb_2ec30360,28800.0,teleportedWalk,61,m,medium,2000.0,false,811466.46,5846756.58,-162.01033333333334,
berlin_e462f55e,28800.0,teleportedWalk,35,f,medium,3600.0,false,797278.6323219084,5826971.189616344,-12.646666666666667,
berlin_a8bc6aa5,28800.0,teleportedWalk,61,m,low,900.0,false,795063.6180030991,5826062.249957531,-18.663666666666668,
berlin_0d3bcb34,28800.0,teleportedWalk,12,m,low,2000.0,false,798094.6136992322,5830408.712199728,-15.386666666666667,
bb_14eb4ddd,28800.0,teleportedWalk,38,f,high,3600.0,false,808123.02,5837435.52,-79.06,
berlin_cc0d4ed1,28800.0,teleportedWalk,59,m,very_low,900.0,false,793704.5688484663,5831813.713777086,-18.766666666666666,
berlin_51c26f42,28800.0,teleportedWalk,65,m,low,900.0,false,808295.5886969317,5831637.376370172,-87.763,
berlin_dbdde520,28800.0,teleportedWalk,64,f,medium,2000.0,false,799041.0343833064,5828504.069518087,-23.092333333333336,
bb_4b727b50,28800.0,teleportedWalk,52,m,medium,2000.0,false,786547.6,5813956.45,-90.34,
berlin_56a2e886,28800.0,teleportedWalk,7,m,high,4600.0,false,808696.5916360221,5830266.936702601,-68.37,
berlin_05a56a09,28800.0,teleportedWalk,43,f,medium,3000.0,false,786931.9323511256,5837235.38580692,-63.153333333333336,
berlin_1b6ee4e2,28800.0,teleportedWalk,51,m,very_high,5600.0,false,796289.0454824206,5831245.315893352,-13.343333333333334,
berlin_36c063a8,28800.0,teleportedWalk,32,m,very_low,900.0,false,801874.679058182,5827617.507317001,-32.989999999999995,
berlin_40115673,28800.0,teleportedWalk,50,f,high,3600.0,false,804281.7493731235,5817449.043007575,-74.05,
bb_d29df6b1,28800.0,teleportedWalk,33,m,medium,3000.0,false,777357.98,5812929.05,-125.74666666666667,
berlin_43a8a4a4,28800.0,teleportedWalk,35,f,low,2000.0,false,795835.2619102004,5824339.112759289,-23.03,
