personId,sex,age_group,economic_status,restricted_mobility,income,income_bin,bezirk,access_base,access_policy,delta,changed
bb_8779279f,m,<15,very_high,No restriction,5600,5600,NA,-12.416922686145508,-19.06013105584128,-6.6432083696957704,TRUE
berlin_72254956,m,30–44,medium,No restriction,3000,3000,6,-8.516614359545114,-15.816491346460797,-7.299876986915683,TRUE
berlin_d9888369,f,30–44,low,Restricted mobility,1500,1500,2,-7.2537054168911155,-19.82882564019439,-12.575120223303273,TRUE
bb_d0a21aa6,f,30–44,very_high,No restriction,5600,5600,NA,-14.955492270107404,-19.57998360938972,-4.624491339282317,TRUE
bb_42f98a53,m,30–44,very_low,No restriction,499,499,NA,-49.89358171054393,-75.00895720276544,-25.115375492221517,TRUE
berlin_dd2ed96b,m,30–44,high,No restriction,4600,4600,4,-7.551043019511837,-10.419446881256938,-2.868403861745101,TRUE
berlin_b8ba2528,m,60+,medium,No restriction,1500,1500,2,-7.463693263241607,-20.37248319605818,-12.908789932816573,TRUE
bb_a830d69b,f,30–44,medium,No restriction,1500,1500,NA,-27.516722212395894,-34.50333147260785,-6.986609260211953,TRUE
berlin_3fc03e31,f,45–59,low,No restriction,900,900,4,-7.343655034574103,-10.547859150864094,-3.204204116289991,TRUE
bb_a4b237c2,m,30–44,high,No restriction,2600,2600,NA,-15.95117739899632,-19.827012846361576,-3.8758354473652563,TRUE
berlin_1f2de34b,m,30–44,high,No restriction,2600,2600,3,-12.63711338241767,-22.056978595000327,-9.419865212582657,TRUE
berlin_2762a047,m,45–59,medium,No restriction,2600,2600,8,-11.34651386942477,-17.27899849245962,-5.932484623034851,TRUE
bb_bc959b98,m,60+,medium,No restriction,2000,2000,NA,-21.435312502489317,-32.9717732796438,-11.536460777154481,TRUE
berlin_09dec9d2,f,30–44,high,No restriction,4600,4600,5,-5.685663951995671,-26.096188039804762,-20.41052408780909,TRUE
bb_8cf08124,m,60+,low,No restriction,1500,1500,NA,-22.117603117898245,-24.207512287739775,-2.0899091698415297,TRUE
bb_9ac402ca,m,45–59,high,No restriction,3600,3600,NA,-17.907630033541604,-22.881845143982087,-4.974215110440483,TRUE
bb_2a0e092f,m,30–44,high,No restriction,4600,4600,NA,-12.053333228182817,-15.344473593715804,-3.2911403655329874,TRUE
berlin_e3b708e2,m,60+,medium,No restriction,2000,2000,2,-7.243288017422728,-17.993705912889713,-10.750417895466985,TRUE
berlin_3950349c,f,15–29,low,No restriction,900,900,5,-10.973610260656368,-36.852040886704806,-25.878430626048438,TRUE
berlin_00a134ff,f,60+,medium,No restriction,2000,2000,11,-6.640682191899587,-17.801522844179956,-11.16084065228037,TRUE
berlin_9168ad72,f,30–44,high,No restriction,4600,4600,10,-3.5420313333798568,-5.847010760991506,-2.3049794276116495,TRUE
berlin_64a8ca3c,m,<15,medium,No restriction,3000,3000,5,-10.42147947686713,-20.927765979478146,-10.506286502611015,TRUE
berlin_0fe589a6,m,60+,low,Restricted mobility,900,900,4,-12.93067636370885,-14.540838911571758,-1.6101625478629078,TRUE
berlin_f0aa6424,f,30–44,medium,No restriction,3000,3000,7,-11.701275528017119,-16.429700746324702,-4.728425218307583,TRUE
bb_b1689bbe,f,30–44,low,No restriction,2000,2000,NA,-31.731314477021023,-41.33743276971052,-9.606118292689494,TRUE
berlin_ac049d8a,m,<15,medium,No restriction,3600,3600,10,-1.4989434003119222,-9.89368972723672,-8.394746326924798,TRUE
berlin_cf75ba26,m,15–29,high,No restriction,3000,3000,8,-10.516158239843527,-16.131018091930013,-5.614859852086486,TRUE
berlin_12c3d8df,f,30–44,very_high,No restriction,4600,4600,6,-8.712185496341469,-10.881749714758259,-2.16956421841679,TRUE
