sex,n,mean_delta,median_delta,sd_delta,p25,p75,share_improved,share_worsened
f,24672,-9.126406008547608,-7.529699629137865,7.12729136431814,-11.339042053315262,-4.178572916648126,0.0012970168612191958,0.9987029831387808
m,24594,-9.026421811219445,-7.362105953941718,7.056294887656817,-11.283394210107025,-4.067441621205347,7.318858258111735e-4,0.9992681141741888
