age_group,n,mean_delta,median_delta,sd_delta,p25,p75,share_improved,share_worsened
<15,6633,-8.143696428499368,-6.633922891815466,6.215650851369682,-9.9985318888792,-3.891925684568232,0,1
15–29,8653,-9.757079950291587,-7.953664117926758,7.8529097477600125,-12.238506455796927,-4.237494441092437,4.6226742170345545e-4,0.9995377325782966
30–44,10649,-9.032976970862343,-7.299589942610792,7.105520223009977,-11.169288311936452,-4.065553061700985,0.001032960841393558,0.9989670391586064
45–59,10350,-9.061370654157635,-7.272203657209959,7.157562660292472,-11.337721945869706,-3.9751959615488586,0.001352657004830918,0.9986473429951691
60+,12981,-9.147214992270516,-7.850783767581447,6.8578724599596255,-11.597019437788731,-4.3918208052045395,0.0016177490177952392,0.9983822509822048
