economic_status,n,mean_delta,median_delta,sd_delta,p25,p75,share_improved,share_worsened
very_low,6490,-12.019796224626175,-10.138205774115246,9.53989955237094,-17.043885186516825,-4.264214050850893,0.00724191063174114,0.9927580893682588
low,7928,-9.960812156185781,-8.41353281072315,7.540251345567664,-13.051671706559508,-4.484807038790194,3.7840565085771945e-4,0.9996215943491423
medium,18198,-8.703759320162073,-7.292320418956869,6.452102651152481,-10.971140245685017,-4.309138601475597,0,1
high,11927,-7.954904112559666,-6.535802417950471,5.973759583613412,-9.658051155093386,-3.9011713912697945,0,1
very_high,4723,-7.816124780254984,-6.4175903589641585,5.930017474910254,-9.133304219702165,-3.7977756749756644,0,1
