restricted_mobility,n,mean_delta,median_delta,sd_delta,p25,p75,share_improved,share_worsened
No restriction,43514,-9.005099923222557,-7.355999430051476,7.047499453589972,-11.167362423762498,-4.109211322850369,8.273199430068484e-4,0.9991726800569931
Restricted mobility,5752,-9.616583624636855,-8.118783673563517,7.3987021593922995,-12.274572784527502,-4.270273519087936,0.0024339360222531293,0.9975660639777468
