age_group,n,mean_access,median_access,sd_access,p25,p75
<15,6633,-68.34070003517765,-58.23000000000001,45.767204156259666,-90.48666666666666,-33.18666666666665
15–29,8653,-55.84032127585809,-44.385000000000005,44.95132440562305,-71.16,-25.820999999999994
30–44,10649,-69.87429304786052,-52.693333333333335,62.246192833181524,-88.6033333333333,-29.076666666666668
45–59,10350,-72.1970193236715,-56.06333333333333,62.43124415207571,-91.98333333333332,-30.186666666666667
60+,12975,-93.24181042547384,-78.43333333333334,66.86805492112303,-120.25,-45.67116666666667
